"annotation_id","annotator","created_at","dark_intensity","humor_presence","humor_type","id","joke_topic","lead_time","note","rhetorical_device","stand_up","target_category","transcript_text","updated_at","video"
489,"10","2026-02-10T19:11:52.297657Z","1 - Mild","Humor","Dark Humor",1,"Politics and society",229.104,"","{""choices"":[""Irony"",""Satire""]}","Yes","Race / Ethnicity","Imagine Bill Maher being the voice of reason for the left. This sad news, we found out this week that Sydney Sweeney is... That was just... Uh, no, she's not. But you all see the ad that she's out there. This is a very important ad that we're seeing now. There she is, dressed like Jay Leno in all blue denim. And she talks about the fact that she has blue eyes, and then she says, I have great jeans, you know, because she's wearing jeans. But according to the woke people, this means that she's a white supremacist. They should have been aware when they wrote this ad that this is what some people were gonna think. I don't think they did it on purpose, but I also think it's pretty funny that all the online social justice girls are like, it's racist, there's no such thing as good jeans. Right, and then you go on Tinder and swipe left on every bald guy.","2026-02-12T18:17:15.012186Z","s3://humor-harm-dataset/dataset-s3/-xEw-SdaVJ0.mp4"
394,"9","2026-02-06T06:31:29.958348Z","2 - Moderate","Humor","Dark Humor",1,"{""choices"":[""Politics and society"",""Celebrity and pop culture""]}",81.713,"","{""choices"":[""Irony"",""Satire""]}","Yes","Race / Ethnicity","Imagine Bill Maher being the voice of reason for the left. This sad news, we found out this week that Sydney Sweeney is... That was just... Uh, no, she's not. But you all see the ad that she's out there. This is a very important ad that we're seeing now. There she is, dressed like Jay Leno in all blue denim. And she talks about the fact that she has blue eyes, and then she says, I have great jeans, you know, because she's wearing jeans. But according to the woke people, this means that she's a white supremacist. They should have been aware when they wrote this ad that this is what some people were gonna think. I don't think they did it on purpose, but I also think it's pretty funny that all the online social justice girls are like, it's racist, there's no such thing as good jeans. Right, and then you go on Tinder and swipe left on every bald guy.","2026-02-12T18:17:25.916640Z","s3://humor-harm-dataset/dataset-s3/-xEw-SdaVJ0.mp4"
35,"7","2025-12-01T01:45:35.728594Z","1 - Mild","Humor","Dark Humor",1,"Politics and society",219.66199999999998,"","{""choices"":[""Irony"",""Satire""]}","Yes","Race / Ethnicity","Imagine Bill Maher being the voice of reason for the left. This sad news, we found out this week that Sydney Sweeney is... That was just... Uh, no, she's not. But you all see the ad that she's out there. This is a very important ad that we're seeing now. There she is, dressed like Jay Leno in all blue denim. And she talks about the fact that she has blue eyes, and then she says, I have great jeans, you know, because she's wearing jeans. But according to the woke people, this means that she's a white supremacist. They should have been aware when they wrote this ad that this is what some people were gonna think. I don't think they did it on purpose, but I also think it's pretty funny that all the online social justice girls are like, it's racist, there's no such thing as good jeans. Right, and then you go on Tinder and swipe left on every bald guy.","2026-02-12T18:17:34.237400Z","s3://humor-harm-dataset/dataset-s3/-xEw-SdaVJ0.mp4"
2,"1","2025-11-20T22:18:59.482761Z","2 - Moderate","Humor","Dark Humor",1,"Politics and society",858.789,"","{""choices"":[""Irony"",""Satire""]}","Yes","Race / Ethnicity","Imagine Bill Maher being the voice of reason for the left. This sad news, we found out this week that Sydney Sweeney is... That was just... Uh, no, she's not. But you all see the ad that she's out there. This is a very important ad that we're seeing now. There she is, dressed like Jay Leno in all blue denim. And she talks about the fact that she has blue eyes, and then she says, I have great jeans, you know, because she's wearing jeans. But according to the woke people, this means that she's a white supremacist. They should have been aware when they wrote this ad that this is what some people were gonna think. I don't think they did it on purpose, but I also think it's pretty funny that all the online social justice girls are like, it's racist, there's no such thing as good jeans. Right, and then you go on Tinder and swipe left on every bald guy.","2026-02-12T18:17:40.673938Z","s3://humor-harm-dataset/dataset-s3/-xEw-SdaVJ0.mp4"
490,"10","2026-02-10T19:13:19.744553Z","","Not Humor","None of these",2,"Other",78.094,"","None of these","No","","I've always been an animal lover. Ever since I saw a picture of a dog, I've been like, I want that. I still love and respect animals, but as a kid, it was pretty intense. Not gonna lie. Can we get a dog? Can we get a dog? Can we get a dog? My parents had to sit through years of that until my dad finally couldn't handle it anymore and got me one for my seventh birthday against my mom's will. Before that, they tried everything to make me stop, besides getting me a dog. And by everything, I mean a bunch of fish. Maybe if we shape these fish into a dog, she won't notice. They'd come home with two fish from the pet store that would last for about a week, die, and then get replaced. Repeat until dog appears. How many fish must die before I get what I want? Since we got fish from the pet store and not an actual breeder, that was probably a big contributing factor on why they died so quickly. But as a five-year-old, I also just forgot to feed them a lot, so there's gotta be some fish blood on my hands for that.","2026-02-11T22:24:53.592691Z","s3://humor-harm-dataset/dataset-s3/XDuGBcv_R80.mp4"
395,"9","2026-02-06T07:05:46.536208Z","","Not Humor","None of these",2,"Other",34.83,"","None of these","No","","I've always been an animal lover. Ever since I saw a picture of a dog, I've been like, I want that. I still love and respect animals, but as a kid, it was pretty intense. Not gonna lie. Can we get a dog? Can we get a dog? Can we get a dog? My parents had to sit through years of that until my dad finally couldn't handle it anymore and got me one for my seventh birthday against my mom's will. Before that, they tried everything to make me stop, besides getting me a dog. And by everything, I mean a bunch of fish. Maybe if we shape these fish into a dog, she won't notice. They'd come home with two fish from the pet store that would last for about a week, die, and then get replaced. Repeat until dog appears. How many fish must die before I get what I want? Since we got fish from the pet store and not an actual breeder, that was probably a big contributing factor on why they died so quickly. But as a five-year-old, I also just forgot to feed them a lot, so there's gotta be some fish blood on my hands for that.","2026-02-11T22:25:03.032733Z","s3://humor-harm-dataset/dataset-s3/XDuGBcv_R80.mp4"
34,"7","2025-12-01T01:44:59.631476Z","","Not Humor","None of these",2,"Other",107.035,"","None of these","No","","I've always been an animal lover. Ever since I saw a picture of a dog, I've been like, I want that. I still love and respect animals, but as a kid, it was pretty intense. Not gonna lie. Can we get a dog? Can we get a dog? Can we get a dog? My parents had to sit through years of that until my dad finally couldn't handle it anymore and got me one for my seventh birthday against my mom's will. Before that, they tried everything to make me stop, besides getting me a dog. And by everything, I mean a bunch of fish. Maybe if we shape these fish into a dog, she won't notice. They'd come home with two fish from the pet store that would last for about a week, die, and then get replaced. Repeat until dog appears. How many fish must die before I get what I want? Since we got fish from the pet store and not an actual breeder, that was probably a big contributing factor on why they died so quickly. But as a five-year-old, I also just forgot to feed them a lot, so there's gotta be some fish blood on my hands for that.","2026-02-11T22:25:18.769676Z","s3://humor-harm-dataset/dataset-s3/XDuGBcv_R80.mp4"
3,"1","2025-11-21T21:26:17.866265Z","","Not Humor","None of these",2,"Other",21.048000000000002,"","None of these","No","","I've always been an animal lover. Ever since I saw a picture of a dog, I've been like, I want that. I still love and respect animals, but as a kid, it was pretty intense. Not gonna lie. Can we get a dog? Can we get a dog? Can we get a dog? My parents had to sit through years of that until my dad finally couldn't handle it anymore and got me one for my seventh birthday against my mom's will. Before that, they tried everything to make me stop, besides getting me a dog. And by everything, I mean a bunch of fish. Maybe if we shape these fish into a dog, she won't notice. They'd come home with two fish from the pet store that would last for about a week, die, and then get replaced. Repeat until dog appears. How many fish must die before I get what I want? Since we got fish from the pet store and not an actual breeder, that was probably a big contributing factor on why they died so quickly. But as a five-year-old, I also just forgot to feed them a lot, so there's gotta be some fish blood on my hands for that.","2026-02-11T22:25:27.812227Z","s3://humor-harm-dataset/dataset-s3/XDuGBcv_R80.mp4"
396,"9","2026-02-06T07:06:21.969543Z","","Not Humor","None of these",3,"Celebrity and pop culture",32.991,"","None of these","No","","Quagmire. I'm going to get unbanned from hinge. All right. Peter Griffin. I'm going to start by shoplifting from Wetzel's pretzels. I'm going to shoplift from Wetzel's pretzels, because like what are they going to do? Like jump over the counter and kill me for a pretzel? You don't have the guts to kill me, Wetzel's pretzel. Oh my God. Stewie Griffin. Starting today, no more diaper. No more diaper. I'm going to hold it. Oh, so maybe 20, 25. Brian Griffin. I'm going to quit smoking and start vaping. Shameless. Even know who Shameless is? Yeah. Do you? The guy with the peg arms and the peg legs? Yeah. How many of you know who Shameless is? I want to get into yoga so I can stretch my pigs. Stan Smith. I'm going to turn Guantanamo Bay into an Airbnb. But Roger, I'm going to join a gym so I can do something about these man boobs.","2026-02-12T18:22:08.249251Z","s3://humor-harm-dataset/dataset-s3/XF5atSzGKRI.mp4"
36,"7","2025-12-01T01:47:17.048712Z","","Humor","Regular Humor",3,"Work",127.081,"","None of these","No","","Quagmire. I'm going to get unbanned from hinge. All right. Peter Griffin. I'm going to start by shoplifting from Wetzel's pretzels. I'm going to shoplift from Wetzel's pretzels, because like what are they going to do? Like jump over the counter and kill me for a pretzel? You don't have the guts to kill me, Wetzel's pretzel. Oh my God. Stewie Griffin. Starting today, no more diaper. No more diaper. I'm going to hold it. Oh, so maybe 20, 25. Brian Griffin. I'm going to quit smoking and start vaping. Shameless. Even know who Shameless is? Yeah. Do you? The guy with the peg arms and the peg legs? Yeah. How many of you know who Shameless is? I want to get into yoga so I can stretch my pigs. Stan Smith. I'm going to turn Guantanamo Bay into an Airbnb. But Roger, I'm going to join a gym so I can do something about these man boobs.","2026-02-12T18:22:03.634643Z","s3://humor-harm-dataset/dataset-s3/XF5atSzGKRI.mp4"
