video_id,title,view_count,duration_seconds
3yY4ai2L2BA,"Oscars 2025: Host Conan O'Brien gives Adam Sandler a hard time over his choice of outfit 1 minute, 48 seconds",,108
UL_HGLEiZm8,ADAM SANDLER Ranks HAPPY GILMORE Quotes! #shorts #adamsandler #quotes #comedy #classic #netflix,2412881,101
SdbHhQHQyxs,Adam Sandler's Funny Kid Advice,21941068,21
CQQpr6QI83w,Top 10 best moments Happy Gilmore #golf #happygilmore #adamsandler #shorts,114972,47
wWeMJkCD0E4,Double trouble incoming! 💁💁,30183925,76
8crHCexyc7M,"Adam Sandler wants to go to Disneyland in Bulletproof (1996), a mix of buddy-cop comedy and action",7803116,33
s0umuoSQ_rM,Adam Sandler Funny Moments,25044,63
yjdxNsuJk2o,Adam Sandler Bumming at the Oscars‼️🤣😂 #hilarious #conan #adamsandler #chalamet #oacars #comedy,63392,60
yUO2TxF5uh8,Adam Sandler’s Funny Advice on Swimming With His Kids #adamsandler #celebrity,20952640,23
gU8f57dnK0g,Adam Sandler is funny 💀#adamsandler  #edit #shorts,5767430,61
gg8IoWCPK_U,5 Surprising Stars You Missed in Happy Gilmore 2! #shorts,543025,41
ypYyHMH0n4M,"Your days are numbered, clown! 🤡 #HappyGilmore #AdamSandler #Shorts",575049,43
gUynUNouMK4,Adam Sandler and Chris Rock Share a Beautiful Moment,8762243,23
JH6zzjeeQN0,Adam Sandler on meeting Eminem First Time,1376999,28
w_RuhPK87_I,Ranking Top 5 Funny HAPPY GILMORE 2 Moments #shorts,261822,41
bNpLINirAb4,Best Adam Sandler English comedy movies Netflix #comedy #movies #sitcom #funny #edit,2366,10
XgMK__cSmho,Adam Sandler on Eminem | Happy Gilmore 2025,1376095,28
YXRL02rUEDM,Happy Gilmore 2 is.. 😦 | The Truth about Adam Sandler 🍿🎬,1732666,60
BiW9POj4QMQ,"Watch these Eminem Happy Gilmore 2 outtakes, ya jackass!",224929,24
xuSJ_zQ_xvk,That’s What She Said - Adam Sandler 🤣,964715,50
M0dPKnnP6Ew,Taking Down the Clown in Happy Gilmore #adamsandler #happygilmore #carlweathers #90smovies #film,43649812,28
yUO2TxF5uh8,Adam Sandler’s Funny Advice on Swimming With His Kids #adamsandler #celebrity,20952641,23
xUrrguHV5SI,Adam Sandler's Daddy Pool Advice,34068255,17
wWeMJkCD0E4,Double trouble incoming! 💁💁,30183925,76
5oYh5GUzSMw,She Did What!? 😳 #adamsandler #funny,18208040,47
8eSNjA5rngA,Swimming pool tips,29979445,19
FjPs4T7xKvM,Somebody is More important 😂,26136987,61
SdbHhQHQyxs,Adam Sandler's Funny Kid Advice,21941068,21
cDFaQgM1bUs,How Adam Sandler got Eminem for Happy Gilmore 2,19032149,41
8E2CR-aStN0,Why Adam Sandler dresses like this. #adamsandler #trivia #actor,8870720,34
3yY4ai2L2BA,"Oscars 2025: Host Conan O'Brien gives Adam Sandler a hard time over his choice of outfit 1 minute, 48 seconds",,108
sot2sRCADEA,Adam Sandler Gave David Spade A Maserati 😂,14200320,53
YKzRPFvky9Y,"Happy Gilmore 2 | Official Trailer | Netflix 2 minutes, 33 seconds",,153
Yxo59C30zTg,"She’s really pretty, even in her short hair 🥹",6110850,60
h6TrI1vfBQo,KreekCraft Meets iShowSpeed,10480495,52
gU8f57dnK0g,Adam Sandler is funny 💀#adamsandler  #edit #shorts,5767430,61
uO44_Adc8zQ,Adam Sandler Met Bruce Springsteen But No One Believe | #shorts,9514640,77
PlNzR3BxvY8,“I guess not..” #explore #funny #fyp  #memes #series #pranks #jokes #movie #movies #viralmovies #lol,9740698,50
ZSuCY7yPwrE,"\""The Wildest Barbershop in the West 💈🤣 | The Ridiculous 6\""",8964939,60
cEXWCWFXAh8,Eminem in Happy Gilmore 2,9460315,60
