video_id,title,view_count,duration_seconds
fi74rtTKDek,"Amy Schumer and 'Kinda Pregnant' Co-Stars FINALLY Decide: What's Funny, What Should Die? 2 minutes, 51 seconds",,171
jWDMULbexBo,Meryl Streep vs Jennifer Lawrence and Jodie Foster at 90th #Oscars #shorts,58720116,30
2Mmcjh79g3I,Jimmy Fallon Couldn’t Stop Looking 👀#JimmyFallon #DakotaJohnson #FallonTonight #CelebrityShorts,22013029,60
scKID7V-AIo,"When They’re Together, Nobody Can Stop Laughing.#KristenWiig #BillHader #celebrity #SNL #funny",7698157,61
wZ-4Y-BGvqg,Kinda Pregnant | 🤰🎭 When a Fake Bump Turns Into Real Chaos and Love Gets Complicated! 💔😂,5609966,49
NLodEd3ciMA,Shane Gillis “The Voice” Parody Sketch🤣😭🤣#shanegillis #saturdaynightlive #mssp #comedy #thevoice,3729484,60
CZ8eDPJ9q7Q,Adam Sandler Recreates his Famous Chalamet at the Oscars‼️🤣😂 #nikkiglaser #adamsandler #chalamet,4254516,30
2qA5lNqqCOQ,Please enjoy these acting tips from Olivia Colman 🎭,4801332,41
Zz2t-RA_MB4,Ellen Degeneres ROASTS Jennifer Lawrence,3027955,60
mmWilF-2vaM,With apologies to all dogs featured on this podcast.,3997028,57
nryCz2_mf0Q,Amy Poehler ROASTS Seth Meyers,2233846,78
GgD-WIoIJaY,Ranking The Funniest Joe Bartolozzi Moments😂😭 #shorts #funny #joebartolozzi,1171782,55
DXjyG3UQHlg,Nikki Glaser Destroyed Everyone. #NikkiGlaser #roast #ranking #celebrity #usa #funny,1014234,60
h0HsiDJS5bU,"Hilarious Love Scene Gone Wrong (Kinda Pregnant, 2025)",564726,61
NPdzwn5hqgw,Shane Gillis Mocks Amy Schumer’s Oscars 'Trauma' with Trump Impression! 😂🤣,424802,42
RaKSX85vqzo,Tina Fey & Amy Poehler ROAST Emma Stone,249111,22
pjus0TRvWek,Amy Poehler ROASTS Golden Globes,186066,16
DPDPx5xOOcA,Amy after a few drinks is hilarious 😂💃,324416,59
m5Xw4TMfDX8,Trump shares bizarre AI video of Chuck Schumer and sombrero-wearing Hakeem Jeffries,279303,35
GBzAPlBclno,blake lively meets amy schumer vs justin baldoni  #justinbaldoni,171569,28
sE-PKUUsZ9M,That Time Bill Hader & Amy Schumer had a argument 🤦🏾‍♂️🤣💀 #shorts #funny #reels #comedy #short #reel,230385,27
e76S4lPa1g8,Amy Schumer Thinks Men Don't Want Funny Girls #shorts #amyschumer,12199,11
E2j_fL-UhpI,Amy Schumer's Oscars Joke FLOP!,2954,17
fi74rtTKDek,"Amy Schumer and 'Kinda Pregnant' Co-Stars FINALLY Decide: What's Funny, What Should Die? 2 minutes, 51 seconds",,171
WYzTzT-yFks,Amy Schumer | Samantha Hale | Chick Comedy,3915,110
OlaTPpl3Hcw,Amy SchumerWe all wanna be HOT #amyschumer #jimmyfallon #foryou #shorts,661,45
zioU77kdAgA,She Spoke Up — And Changed the Company 💼💄 | I Feel Pretty,58892,60
T56u4gVHT0o,If Amy schumer was actually funny -  #standupcomedy #comedy,3302,55
hqENx3qOzPQ,we must protect Deb at all costs #AmySchumer,23779,68
367eg78nm7k,pumped for this one! #comedy #movie #film #amyschumer #netflix #fyp #greenscr,1405,23
KzWj2vxjR2c,Why We Don't Find Amy Schumer Funny with gabi belle,2298,28
9itg05NRgOI,Girl Makes Funny Jokes,6276,9
VFzbu6ES5G0,Charlie roasts Amy Schumer 😂 #funny #funnyvideo #jokes #comedy #fyp,587,15
courfzjB_eY,Whats the Worst Part of Christmas?,1371,52
ZQOYz4MrN3A,Amy Schumer Reveals Spinal Surgery After Surfing Injury #shorts #hollywood #amyschumer,3318,16
GQ5HyQ6LqCA,John Cena's silly body with Amy Schumer,2669,31
izHJtv_GYm8,Amy Schumer on Hurtful words #amyschumer #jimmyfallon #foryou #shorts,102,28
FyiA3BgWHLM,JJ Lane's Hilarious Beef with Amy Schumer!,6243,50
4UMHYPbLoXY,This sketch had me DYING 😂😭 try not to laugh @AmySchumer,684,87
9qG9RK8TD5A,🇺🇸 Amy Schumer “I’m wearing a lot of makeup.”🤣😆🫢,1360,60
id6qxKWuprY,Amy Schumer on Bradly Cooper #AmySchumer #jimmyfallon #foryou #shorts,107,40
