video_id,title,view_count,duration_seconds
aePRCHAml_o,Regina Hall Pats Down Jason Momoa & Josh Brolin at the 94th #Oscars #shorts,23340868,35
RBOFErTk67w,Is Covid cool now?,423460,38
f8xQrUi5FEU,"Changes to COVID-19 vaccine policies 2 minutes, 36 seconds",,156
Hj7QZw8x0O4,Big moments from the NYC mayoral debate,180080,90
7T13spEROV0,The final NYC mayoral debate in 90 seconds,3737674,87
ACSZNeLoSdE,"How can a blood test detect COVID, AIDS, or Lyme disease?",595,58
NWrNtr5T9Pk,"10 Time Machine: Five years ago, President Donald Trump tested positive for COVID-19",1246,108
GEKji2Fo02w,Trump on government shutdown: Democrats 'vote to keep it closed',3679,31
nwZhj-CbsWQ,Did the COVID Crisis Bring People Back to GOD?,130,45
QWd9sIbrMIY,Colorado Governor receives  COVID-19 and flu shots,607,29
jN3UeUWNbRs,"AGGRESSIVE, INFECTED MONKEYS ON THE RUN? 🐒💥",7037,35
zDPLQNh8eUg,Burnt Orange Peel cures COVID taste erase,298,60
RQMasmPApzQ,Why do you need a prescription for a COVID-19 shot in North Carolina? | VERIFY,1996,59
mi3ugHvlX60,"COVID + flu combo at home test now available 1 minute, 22 seconds",,82
cQ3jwffRn10,"Medication Ad - SNL 2 minutes, 7 seconds",,127
Hc0J8PIBW2g,RFK Jr. contradicts his past false statements and himself,10600,75
QUFY1GZ-_gU,What if fungal dianostics became as accessible as covid tests?,219,50
VMxuz1IQXWI,He left his wife during LABOR to go to a work meeting...,176535,81
IiEjzC9fNBQ,Recall of yellow and white peaches sold in Hawaii for potential Listeria contamination 31 seconds,,31
kj_c4bOA7-4,"Subway Busking with Bad Bunny | The Tonight Show Starring Jimmy Fallon 3 minutes, 22 seconds",,202
