video_id,title,view_count,duration_seconds
yHIH7lw3s3g,Sometimes conversations,7236597,133
nwezy-P6oWo,Mike Tyson on Chelsea Lately,8626910,59
eh-yJAB0AVk,Chelsea Handler's close call with Bill Cosby,3070540,74
3aOIT2hP20w,Chelsea Handler  The Comedy Force Behind 'The Feeling' #funny #comedypodcast,176,24
1UWAWle0Y8s,Dear Chelsea with Yamaneika Saunders,1479176,45
6--BEOxP4SQ,Candidate for the State’s Largest Baby | Chelsea Lately,107849,60
T352P3OPg7o,Chelsea Handler Reveals What She Learned in Therapy | #Shorts,45363,35
M3KWHD5ePic,Chelsea Handler and Ludacris play Never Have I Ever #theellenshow #chelseahandler #ludacris,2140914,63
tkRNCtjYoJU,Chelsea Handler makes fun of the WICKED casts #shorts #wicked #arianagrande,283537,41
54zGAzjp9aE,Chelsea Handler Had Baby Girl Moment At Critics Choice Awards,25412,20
hjVb6b34aCM,Chelsea Handler and Ludacris play Never Have I Ever #theellenshow #chelseahandler #ludacris,30539,60
28SN7lw6cH4,Life Partner | Chelsea Handler | Comedy Time,3567,167
99c-EhxYYZI,Joan Rivers vs. Chelsea Handler,110042,35
-lUFpw6dXIY,Chelsea Handler's red flags,51624,64
yxICOjB7_oY,Chelsea Handler shares her hilarious family vacation stories! 🤣 From anonymous 360 reviews,17812,57
8Ql-xttU8u0,When Zach Galafianakis Slept with Chelsea Handler | Dear Chelsea #shorts,83846,89
w_pmWNdJ3VI,Ariana Grande & Ethan Slater got CALLED out,27355,14
wkRgxwEuVTA,Will You Marry Me with Kathy Griffin | Dear Chelsea #shorts,8870,84
VOxlSrQKu2M,Chelsea Handler’s Dog Chunk Was a Legend For This,105525,59
Bv1ETnuMRbM,Judges are more important now than ever,28118262,89
yHIH7lw3s3g,Sometimes conversations,7236597,133
_7kBWkggnE0,European Tour kicks off this week in Reykjavik! See you in Europe ✈️,3291926,75
eh-yJAB0AVk,Chelsea Handler's close call with Bill Cosby,3070540,74
OgopfeJ0wQA,Kevin Hart’s Hilarious Take on Black Baby Names 😂 | #icecube #hollywood #funnyinterview,2830278,51
cOVg7i-ebGc,Chelsea Handler Exposes Theo Von,2919832,21
M3KWHD5ePic,Chelsea Handler and Ludacris play Never Have I Ever #theellenshow #chelseahandler #ludacris,2140914,63
Y4JkalNOB9c,50 Cent Flirting with the Talk Show Host – Charm Level: 100 😏,1142425,45
MEMHoLkSFq4,Happy US Open season!!,1273419,74
X70ewBvbyQ8,Joan Rivers dealing with haters,1795392,164
1UWAWle0Y8s,Dear Chelsea with Yamaneika Saunders,1479176,45
bA5u3i-YF_U,Leave it to New Yorkers to share their feelings!,892010,34
-8VkeUcYiVU,Hilarious moment Donald Trump joins Chelsea’s Club World Cup trophy celebrations,598708,34
tkRNCtjYoJU,Chelsea Handler makes fun of the WICKED casts #shorts #wicked #arianagrande,283537,41
MVQzFIOqVEg,Elisabeth Moss On Scientology #TheHandmaidsTale #elisabethmoss #chelseahandler #scientology #parody,224241,40
kUU1BMbCT1c,50 Cent’s Funniest Interview! 🤣🔥 Quick-Fire with Stephen Colbert,151381,57
VOxlSrQKu2M,Chelsea Handler’s Dog Chunk Was a Legend For This,105525,59
6--BEOxP4SQ,Candidate for the State’s Largest Baby | Chelsea Lately,107849,60
_DZAa2nVHBw,Kylie and Chelsea Handler Have Different Opinions on Guys Who Wear Flip Flops 😂,99431,42
