video_id,title,view_count,duration_seconds
3h0k2s2CKQU,The only two words you’re gonna need in your life 😂 #EverybodyHatesChris,8943696,39
PqB5Hp8Ob9k,Bernie Mack & Chris Rock #funny #comedy #duet #millionaire #laughingtillithurts #laughalil,30959,61
rLypLxxslaI,Dad does the most! #EverybodyHatesChris #ChrisRock #TerryCrews #TylerJamesWilliams #Shorts,1702657,59
N2aNyzKufQo,Chris Rock. The Will Smith slap #comedy #comedyvideo #willsmith #funnycomedy #comedyshorts,18733233,133
ZKzOF8A4OAk,She Had Bernie Mac SHOOK 😂💀 #berniemac #comedy #comedian #chrisrock #standupcomedy,13892588,63
Onwuzbe6Plg,America's Addicted To Opioids | Chris Rock,14544,55
LMigAiry9b0,Reasons Why Men Date Younger Women | Chris Rock #standupcomedy #comedian #standup,763836,58
PO9yyS367p4,Chris Rock talks about Tupac - Bigger & Blacker (1999),22964,60
bN-KnoR8IGY,Wait Until The End! 😂 Bernie was too talented! 🎤🔥 #berniemac #chrisrock #standup #standupcomedy,4286742,81
Qqogdy436ig,Dave Chapelle and Chris Rock COOK Libs on SNL 🤣,9208752,179
VSS5u3CEd_I,Chris Rock #babypodcast #comedian #comedy #viralvideo,45795,58
hvptX9PKi9A,Chris Rock on Trump and Bullies. #comedy #chrisrock #trump,37297,90
gUynUNouMK4,Adam Sandler and Chris Rock Share a Beautiful Moment,8762243,23
ksvt_TcK5TQ,"Baby Chris Rock Speaks Facts About Will Smith’s Oscar Slap 😂 Funny, Bold & Too Real",1968,119
S8dV-toaiEE,Chris Rock -Lola and Zahra are Different !,4032474,48
p7esrte9_vg,How To Stay Together | Chris Rock,610150,31
LHzhCUsYQak,Chris Rock Roasts Jay Z,41109,16
30cp9pY-82c,Chris Rock. Do you agree? #comedyvideo #funnycomedy #standupcomedy #comedyshorts,6912358,100
iyhpvKYmics,Chris Rock. Jay Z and Beyonce 🤣 #comedy #funnycomedy #comedyvideo  #comedyshorts,5422764,18
CRvr8bJb-z4,Will Smith slaps Chris Rock but it’s an English anime dub #voiceactor #anime,52712,36
aIDy_HdSZeA,"Shaq and Kevin Hart roasting each others outfits \""you dressed like a p*rn director\"" 😂 1 minute, 48 seconds",,108
7lStOCq-svI,Michael Jackson’s Reaction When Chris Tucker Came Out 🤣,36140649,54
4edkKulJmD4,America`s Best Neighborhoods To Stay | Chris Rock,14515257,58
N2aNyzKufQo,Chris Rock. The Will Smith slap #comedy #comedyvideo #willsmith #funnycomedy #comedyshorts,18733283,133
cS_oEBaYvZo,Todos juramos que era un sketch #premiososcar #willsmith #eugenioderbez #chrisrock #denzelwashington,9870790,61
Qqogdy436ig,Dave Chapelle and Chris Rock COOK Libs on SNL 🤣,9208783,179
ZKzOF8A4OAk,She Had Bernie Mac SHOOK 😂💀 #berniemac #comedy #comedian #chrisrock #standupcomedy,13892684,63
iSysRh-MWjM,Bernie Mac CHECKS Oprah For Mocking Comedians.,12991679,43
3h0k2s2CKQU,The only two words you’re gonna need in your life 😂 #EverybodyHatesChris,8944427,39
-0z1fHtwx-U,Best Neighborhood To Stay In America,11360434,60
e76mOqI5H2s,The Best Jay Pharoah Impressions!,7229267,56
gUynUNouMK4,Adam Sandler and Chris Rock Share a Beautiful Moment,8764396,23
30cp9pY-82c,Chris Rock. Do you agree? #comedyvideo #funnycomedy #standupcomedy #comedyshorts,6912358,100
aIDy_HdSZeA,"Shaq and Kevin Hart roasting each others outfits \""you dressed like a p*rn director\"" 😂 1 minute, 48 seconds",,108
raCEzmYcL2g,"It's okay, Kevin, we all think we're a \""little\"" more famous than we really are.",6355159,103
gJ1qlXd5XAE,Dave Chappelle Reacts to Will Smith Slapping Chris Rock at the Oscars,7209262,61
H2YcJkuAK8g,Comedians Best Reactions To Will Smith's Slap😂 | #funny #comedy #trending #marriageproposals,5957512,134
iyhpvKYmics,Chris Rock. Jay Z and Beyonce 🤣 #comedy #funnycomedy #comedyvideo  #comedyshorts,5422764,18
rX-GMftiBio,“She said you want to be 43?” 😂 #berniemac #chrisrock #comedy #funnyshorts #standupcomedy,5853793,63
62Prd_h55yw,Tortilla Slap with Kevin Hart 👋🏾 😂,3494918,163
ehaOcSv2j10,kevin hart and Rock's funny moments,3811569,70
