video_id,title,view_count,duration_seconds
IRxZsCo_pNE,Frat Guy orders a drink #collegehumor #funny #aigenerated,4457,8
8XJkqv9fWJE,"6, 7 brews left #collegehumor #funny #brainrot",171,8
aq5Xg6ESW3g,Quiz😂 #funny #collegehumor #comedyfilms #comedy #collegelifememes #comedymovies,1044,12
p4NkZ-UhIe0,Cat in the hat #funny #collegehumor #comedyprank #comedy #collegeyears #comedyvideo #stitch #skit,491,6
X5YDHFBQnUI,Quiz😂😂 #funny #collegehumor #comedyfilms #comedy #collegelifememes #comedymovies,880,18
khliWUhVpvM,Anyone else??? #humor #collegegirl #collegehumor #funny,340,8
8P9xEMVzoxI,Quiz😂😂 #funny #collegehumor #comedyfilms #comedy #collegelifememes #comedymovies,523,27
UeDI4IznhYY,With Nolitha from isitha the enemy #collegehumor #funny #cinematiccomedy #comedyfilms #comedy,3289,14
Xvfb1MRZQiI,Relatable College Humor: Dodging Fake Friends Back Home#collegeHumor #fakeFriends,653,9
FkdCi6qisic,Frat Bro Gets No Love #collegehumor #funny #aigenerated #funny #comedy #movie #nba #memes,2153,8
ADKGlUwsC5c,COWABUNGA 🐢 #collegehumor #funny #tmnt #apt483 #viralvideo #friends,41,8
yV1C2SQXmxw,If life was fair😂😂 #comedy #collegehumor #comedyfilms #funny #collegelifememes #comedymovies #duet,1376,25
QHfGRlIQn08,Chris The Billionaire🔥🙏 #collegehumor #funny #cinematiccomedy #comedyfilms #comedy #comedie,13105,12
jexV13t5xho,lol who else #relatable #collegehumor #collegelifememes #funny #college #trend #viral #shorts,69840,10
mzOgnT1_Qdk,Emily Has a Huge French Press Full of Tea 🫖,2329812,52
JlnvUIGhVV8,What do you call a person from France??😂😭 #collegehumor #funny #cinematiccomedy #comedyfilms,1924,15
xI-wMRDLaFQ,Word of the day😭😭 #collegehumor #funny #cinematiccomedy #comedyfilms #comediedramatique #comedy,1891,29
WQl4UkCAeRQ,Word of the day😭🙌 #funny #collegehumor #comedyfilms #comedy #collegelifememes #comedymovies,604,14
GoxZChq4nr8,Word of the day😂😂 #funny #collegehumor #comedyfilms #comedy #collegelifememes #comedymovies,1131,10
Pw8u50srG50,Street quiz😂😂 #funny #collegehumor #comedyfilms #comedy #collegelifememes #comedymovies #duet,1246,13
D35RP9tlrVY,I speak from experience #college#collegehumor#freshman#prof#professor#school#class#ItsOurHome#fypシ,4399692,42
6zUmJMsEcIQ,What it’s like to rob a college student. #studentlife #collegehumor #collegelife #moodflip #robbery,3592167,48
yRFeTgwx5lA,Jeremy Isn't Being Polite Enough,2638485,54
mzOgnT1_Qdk,Emily Has a Huge French Press Full of Tea 🫖,2329812,52
GNrBlGlwbeE,voice: davis schulz u.a. producer: college humor #lustigevideos #lustigeclips #humor #fyp,1709294,179
SPv4lzp8AEE,Gopi bennnnn🗣️ #funny #collegelifememes  #comedy #collegehumor #popsong #collegelife #trending #love,794041,8
T-5otwS9Cs0,Dropout TV is Peak Comedy,1014415,61
2GE6x2LHuWE,1   I speak from experience (follow my insta💓)#college#collegehumor#freshman,780646,32
jqNGfTW-2xo,I speak from experience #college#collegehumor#freshman#prof#professor#school#class#ItsOurHome#fyp,695283,32
x5sGjLXymtc,"lisa gilroy’s incredibly earnest freestyle 1 minute, 34 seconds",,94
eqBVkoND-8I,The Ultimate Exam Excuse Backfires #CollegeHumor #TeacherBurn #FinalExamFails #SavageComeback #Stude,464187,6
jexV13t5xho,lol who else #relatable #collegehumor #collegelifememes #funny #college #trend #viral #shorts,69840,10
vmOXN5yh-zs,He took the rice cooker🥲#roommates #college #collegehumor #pov,107913,58
KRRG0S7yDZQ,The room feels different without a futon #college #collegehumor #collegelife #roommates,96942,58
Dxn_6ziHwSY,Yaar nahi jaana mujhe 😩😭 #collegelifememes #comedy #funny #collegehumor #studentlife #students,41434,11
kMaCzPI_ENQ,Slogan Mix-Up #CollegeHumor #MomJokes #BrandFails #StudentLogic #NikeProblems,127935,6
zOIyEY4PxSo,in college I have a roommate that would set his normal alarm,26379,6
_XAeV4pTJzE,What should we do next?!  #psychology #freshmen #seniors #majors #college #collegehumor,29894,59
tpKmER4YGu4,I speak from experience (follow my insta💓) #college#collegehumor,35512,32
Hj0r2xXXYfs,It was like @samreich was there! #dropouttv #collegehumor #dragoncon #animecon #nerdcon #nerdgirl,30746,13
