video_id,title,view_count,duration_seconds
2vJYNIiSFhs,Celebrities Are Always Stumped,27544,60
zK6qt4bN6p8,Why is Ellen DeGeneres like a completely different person?  #shorts   #celebrity #ellendegeneres,7633154,59
qYsx3A5sQgs,#ellendegeneres #pdiddy ELLEN SURPRISED KIDS WITH #diddy ON HER #ellendegeneresshow #puffdaddy,520018,35
Jfad4_xXD-k,Ellen Reacts To Newborn Baby,1981464,30
Zz2t-RA_MB4,Ellen Degeneres ROASTS Jennifer Lawrence,3027927,60
i82ysMhXsNY,joe rogan exposed Ellen DeGeneres,22982650,17
2hA5VcV1Su4,Ranking of the Funniest Teeth-Talk Moments on The Ellen DeGeneres Show #usa #funny #celebrity,26575,60
st7Blk_ZT7I,Margot Robbie’s Awkward Husband Story,51645294,18
QZP-lC8SaU0,When Taylor swift roast Ellen on her show,124798,34
8yoMi0FVQ5Y,Ellen bullied Taylor Swift on live TV?,59943,19
S3Y9uriLZVQ,Funniest Ellen Moments Ever! 😂,4378,53
hKfZxUzjnlc,What’s wrong with Ellen?,265557,25
r_X64QG0jwo,This vid never gets old 🤣 #funny #markwahlberg #pullups #goodform #badform #ellendegeneres #lmao,10835,19
ls4-F9ikbxw,Celine Dion politely responding to Ellen’s rude remarks #celine #celinedion #ellen,7360234,54
F6WnIx7fx44,Ellen’s Hunt for the Kid Goes Hilariously Wrong 🤦‍♀️,20722296,54
cdYCZlpktTs,Ellen Degeneres ROASTS Meryl Streep,785974,35
xQrIdUuPa0c,Celebrities attempted to take revenge on Ellen#SarahPaulson#theellenshow#celebrity#usa#funny,41086,60
nsVs-__Ea3A,Bill Gates Tries to Guess Grocery Prices,10262435,24
5YxGP38TW00,Sofia Vergara's Hilarious Story About Getting Pulled Over,1353,22
L3pt_y86ZAQ,The worst accident moment on the Ellen Show#theEllenShow#celebrity#usa#funny,26185,61
jPjib1CnlTo,Child Genius Crushed Anatomy 😂🤯 | ft.Steve,124475424,53
ksGjdH4u_7k,"Unbelievable | Jack Ü, Justin Bieber - Where Are Ü Now | Diplo & Skrillex",72456266,48
jWDMULbexBo,Meryl Streep vs Jennifer Lawrence and Jodie Foster at 90th #Oscars #shorts,58720116,30
JRQ4jU9E4w0,#trump #famousshorts #motivation #facts #wealth #youtubeshorts #ellendegeneres #money #marketing,34555085,78
st7Blk_ZT7I,Margot Robbie’s Awkward Husband Story,51645294,18
J-k7MtbYYpU,Hilarious Kid Trolls Mila Kunis,24086557,20
8fq3i3lbHaw,Ellen Reacts To Cute Baby,18246106,24
T43kM3MVbio,She is so kind for that 😇,55585238,6
XVoGvcdK5cw,Shaq's Mansion Is Really Big,22308401,43
28cp6HmUifU,Ranking The Best Celeb Impressions In Front Of Each Other,19498942,55
F6WnIx7fx44,Ellen’s Hunt for the Kid Goes Hilariously Wrong 🤦‍♀️,20722296,54
nsVs-__Ea3A,Bill Gates Tries to Guess Grocery Prices,10262435,24
i82ysMhXsNY,joe rogan exposed Ellen DeGeneres,22982650,17
HeLoqmSjROk,Ellen Puts Johnny Depp on the Spot - You Won't Believe His Answer!,18125534,31
TtE6wN2r5jY,Haley halloween costumes 😂🎄 #modernfamily #haley #shorts #funny #claire #halloween #sitcom #girl,17868615,34
wYLjGu-CY84,This child left Steve at a loss.🤣🤣🤣#funny #variety #steve #tvshow #show #shorts #fyp #program,11402351,60
Ufd0AIhImfs,Julie Bowen's Accent Is On Point😂,11849249,31
yHIH7lw3s3g,Sometimes conversations,7236597,133
D1vWQyrxBS4,Why ELLEN did that to BILL GATES? 💀,18153178,4
c0MYabkH84s,The Most Memorable Fan Meets Their Idol Moments Ever  #NickiMinaj ellenshow #arianagrande #surprise,6858676,55
