video_id,title,view_count,duration_seconds
GJiozbQNLX4,Using Emojis On Venmo 🍆💦🤰,3298069,55
gLKIBSrzgqQ,Are all great American things Canadian?,404309,15
HdBm9VRsxFM,How To Get Out of a Speeding Ticket,28854,30
kMnuoeQN9yU,Women's Health Experts Share Their Top Secrets,14112,23
HGDpzVBYxK8,Top 5 Funniest Bugatti Moments Ever!,2166513,28
KniVD22s18o,Sabrina and Salem The Cat Reunite!,40451,92
PafA_T_y510,When Your Uber Driver Is Donald Trump,15467,33
mJazIZomIMM,KFC Loves Gays: Colonel Sanders Wants Your Business No Matter What,13398,19
8lhYXjWX8Yk,"Be Funny or Die (1447 AH) 3 minutes, 5 seconds",,185
rGDs9er8m4w,Jack Black Jesus Explains The Bible,19931,29
ScW4_YOJjmE,The hognose snake will play dead when threatened. If turned onto its stomach it will flip back over,62528914,35
BkAdJsct8Y4,This is why I should die after her😱😭 #shorts #funny,221226825,19
5lLextewh94,David Spade Is Having The Worst Coachella #davidspade #coachella #sketchcomedy #innout @davidspade,12818,33
_MbqsosIzoc,"A Simple, At-Home Workout For Women",37455,33
v6PW-pFHWz4,How The Bachelor Is Actually Filmed,43250,20
Av9jdCXU6No,The History of Dad Joke Comedy,33037,50
Zk-M1yhO7TA,A Very American Welcome Home,5372095,70
XAPG4sCGJCo,Sigma Kid Love #funny #sigma,253987072,41
aKLHfm-A7Ws,The Most Attractive Dad You've Ever Seen,155816,46
_E4-pBcteMs,Zach Galifianakis Performs For Jerry Seinfeld,267215,17
_KQ6FsUvEdc,👑 DIY Crown? PLAY PRINCESS TIME! 😍 #shorts #funny,533010680,37
LvYt-ktiiiI,The WEIRDEST earrings in the world #unboxing #haul #weird #funny #rate,349608072,29
XAPG4sCGJCo,Sigma Kid Love #funny #sigma,253987072,41
-0UhSHd3a7k,Top 5 Funniest 'Gender Reveal' Ever. #funny #genderreveal #shorts,218090421,35
JFwQrb3hIeE,"Honey, please help her #couple #trinhhyy #funny #short #shortvideo #love #cute #dance",231141892,14
BkAdJsct8Y4,This is why I should die after her😱😭 #shorts #funny,221226911,19
6wPMxY1hx8A,Sigma Kid Love #funny #simga,180871163,41
F9-5vNH7ryk,Top 6 Funniest Hibachi Chef Tricks Ever! #Hibachi #ranking,121036124,47
aFyVaOdDizk,Chocolate #cartoon #animation #funny #eating #asmr #odlysatisfying #comedymemes,162475333,8
GHxdXw_TmVk,"Ranking the funniest ear piercings moments, watch till the end…#funny #shorts #viral",90678633,37
yRrXSP78z8o,Try not to Laugh ❗💀 | 452 #funny,98803247,28
3uJ234zSG8I,Funny video😅 #shorts,95816089,36
Jo_Gs6Hns0A,Crazy Funny Fails 😂😂 #shorts #memes #fails #funnymoments,90681129,20
5ZQndj9kMJA,"Pick the wrong cup, lose all your hair! 😱 #hairstyle #challenge #funny",57595503,138
zpcyrISfKSI,Baby Mookie Dream 👶🏻 #funny #shorts #newborn #squidgame,72324476,57
8V0Rg8J4jpo,Want to LAUGH Uncontrollably? Watch This Funny Video Now #funny #cute,105664300,7
wSTLUIRetk8,Baby Mookie Love 👶🏻 #funny #shorts #newborn,51589077,45
YbjQCOv858c,"Finally made it in Squid Game 2, Sonic and Mon #sonic #funny #squidgame",60990804,36
HSP15vdW9B8,Best ElectroBoom Moments Ranked #shorts #funny #ranked,46090167,60
e4xfdOw1F8M,Baby Mookie Love 👶🏻 #funny #shorts #newborn #squidgame,40843622,55
