video_id,title,view_count,duration_seconds
sStECTkI-4g,Rhett Gives Dad Advice,2455079,90
8Qr2BZnDe6w,Kentucky roasts Rhett,475507,47
8_RxN--2So0,She did not actually say that,1170870,12
EPTdwRLwWR8,Rhett's Curly Secrets REVEALED!,639017,53
CaL6Hqc6X-o,Is Link funny?,518641,14
nA3kp7itaRk,Link Can't Do Math,565044,20
2h08Pff3kTc,Can We Recreate This Moment?,6116892,45
S9qkb0Dr-dE,Stevie's Coming Out Story,1031496,56
wNnwSQhJSYQ,Put Cheese on your Oreos!,529312,39
TR0WYpGJHy8,"Good One, Stevie!",5471454,9
PfhK15FNbEU,Rhett Is Retiring,1181986,11
pck3xkL6tmQ,Rhett is really good at that...,170073,84
uWEoCuncXmE,"Get In The Bath, Link!",1450437,52
qUGhJJoTW9o,It's time to deep clean the set,574604,24
bX2AIpj4nmU,Who's The Worst Husband?,118946,49
c5mtTrLtmyI,Kylie Kelce Isn't A Fan Of Pet Names!,2177644,55
3Ht6jR4sUro,We were not thinking what Rhett was thinking 😳,4056490,11
nvHaRJbOJwU,Can I say this on GMM?,220432,21
PsrpN8ZOVWs,Do NOT call your wife rigid,993156,42
st-Md_OejUs,Someone's on the ROOF??,341709,26
iIj3VxhxfbU,What a Blind Person Thinks We Look Like,15383061,41
e76mOqI5H2s,The Best Jay Pharoah Impressions!,7229559,56
OLrC_L3mmsA,Don't mess with an Italian.,9316856,81
xBfjSvzVC4U,30 Second Voice Acting Challenge with Alan Tudyk,4259740,30
TR0WYpGJHy8,"Good One, Stevie!",5471454,9
7AoQQxEabYc,"Mr.Beast Apologized to Caleb Hearon!?! 😂😂😂 | Mythical Kitchen, ft. Josh Scherer",5804765,32
kQqvUxqGMBc,In-N-Out is diabolical for this,3455385,54
c5mtTrLtmyI,Kylie Kelce Isn't A Fan Of Pet Names!,2177644,55
3L26oI4iLHI,The difference between Japan & America,3242320,66
5BWvScmL3nA,"Look Away, Link!",1777007,67
3Ht6jR4sUro,We were not thinking what Rhett was thinking 😳,4056490,11
OGaztz4JUnk,Rhett Wasn't Link's Best Man,2048012,69
fQk5maMJYI0,Jordan makes a big mistake,1656186,59
DO_-doohtms,More Funny Anime Pokemon Cries,1553827,59
bEhI7ppLkfs,Reading Lily's Letter to Link,1427563,51
YK8g_52Yhw8,Can You Tell I Love Blue Cheese?,1431186,41
uWEoCuncXmE,"Get In The Bath, Link!",1450437,52
sStECTkI-4g,Rhett Gives Dad Advice,2455079,90
3RL4wpnmtKU,What's Under Your Shirt?,2135149,58
mxhSWYyX9eo,👀 #GoodMythicalWeekend,2729893,17
