video_id,title,view_count,duration_seconds
PzGA13Kn23U,"how the revolutionary war happened 1 minute, 56 seconds",,116
5BrDPUbB1Tc,Ranking Best Gus Johnson Calls  #foryou #fy #ranking #funny,209914,58
Q1jcIhVSVR4,Gus Johnson with the funniest call of all time😂😂 #collegefootball #cfb,995,14
lFr1UKEbQV0,animals when you try to help them,483602,15
WSUcR7Zzb4c,can’t believe i made this mistake,128145,15
W_I3STroCpU,i hate them,415549,74
JyQF5RlWFRo,this drives me nuts,5998168,61
E2nbh4cVdVI,just fired my worst employee,222891,65
witzuJQHHHA,what we do in the midwest every day,158000,28
fvWyTRGJxPU,dad got too excited,306954,23
oxtX9JgGReQ,this is a rough neighborhood,209711,36
W2KjBrjzwDs,who let him do that,469422,12
wJVE8MP7muc,this was CRAZY,1233854,20
-vRSIPxbYqI,POV: you’re a pokèmon in the safari zone,344369,11
n9SBoe5xoO8,why did he say that,231811,18
L8CPQmdOAdw,apps every few months,406539,9
ykMAKN1cgjE,how TV shows used to be,501504,30
Q7kXXGIBEyI,i guess it doesn’t work,221021,25
mPF4Z9-t6jg,where did he get that,138416,36
4KS4dq1rOAk,when the janitor got the balls off the roof,171161,21
Yo6QzpcfQ_g,how they use shotguns in movies,15915650,81
JyQF5RlWFRo,this drives me nuts,5998168,61
9lIX4lXt6Us,how the post office reads packages,1145631,12
S6JsczvIlSQ,I can't help but laugh non-stop ?#ShayneTopp #Smosh #funny #viral,1532357,58
iCkVQZJsLNQ,wtf did i find at the store,689176,12
wJVE8MP7muc,this was CRAZY,1233854,20
7ZwknBCsCWk,'Google That' - Will Howard trolls Curt Cignetti #cfb #football #ohiostate,643505,14
rsvsxwAKcMM,how they mix audio for movies,354019,29
ykMAKN1cgjE,how TV shows used to be,501504,30
W_I3STroCpU,i hate them,415544,74
_wjlXh6_TRE,WHY DID THEY DO THIS,643988,13
wrJwdGYkUcY,Who is on this rare card?,483590,40
lFr1UKEbQV0,animals when you try to help them,483602,15
W2KjBrjzwDs,who let him do that,469427,12
8AKfoXFcMWk,insane pool shot,248429,15
Lep9nksL0XY,HOW TO CALM SOMEBODY DOWN,213628,41
5BrDPUbB1Tc,Ranking Best Gus Johnson Calls  #foryou #fy #ranking #funny,209914,58
Uo8hWEAk9OY,they did him dirty,403428,17
PzGA13Kn23U,"how the revolutionary war happened 1 minute, 56 seconds",,116
fs5b3oFjWzM,i got fired for no reason,338162,51
