video_id,title,view_count,duration_seconds
8hC5Xq9TnMs,ImDontai cooks YourRAGE😭💀,4198006,19
J8XNLeXpZEA,"ImDontai funny moments 2 minutes, 33 seconds",,153
aN_tjbYz7Ns,Valkyrae made YourRAGE and ImDontai crashout,48124,38
mP-eW-W_Z68,Imdontai pulls up as YourRage new caretaker 😂,25633,15
5g7aQ97cLOQ,ImDontai Proves Why Eminem Is The GOAT 😂,67785,27
lOl5H5b7B0k,Dontai crashes out after hearing MEET YOUR PADRE BY DRAKE 😭😂 *HE DID NOT LIKE IT*,156724,13
Y6IHWe8zjso,#yourrage #imdontai #funny #funnymoments #cinnabrit #funnyclips #repo #valkyrae #funnymemes #scumtk,7300,19
MicdYzJCj7Q,Imdontai Trolls Rage About The Corey Situation #yourrage #imdontai #funny #twitch #faze,3394,18
Uu5EeHrA0i0,Yourrage and Dontai W Duo😂 #fyp #fypage #shorts #viral #imdontai #yourrage #funny #clips  #stream,2718,77
ZcreUyssbHg,Dontai makes FUN of Cinna 😂😭#imdontai #cinnaclips #funny #performance #CrazedKlipz,41848,14
gR3abde8BuQ,Yourrage and Imdontai being the best streaming duo moments 🤣,1435,65
-XRkph7qmpw,"YourRAGE Gets Roasted for His “Zesty” Dance Moves 💃😂 Ft. Mari, Dontai",213229,33
z_qzmQhKnwo,ImDontai Shows Love To BruceDropEmOff While With YourRAGE! 😭❤️‍🩹,58617,30
m7kj_rhG6Tg,Dontai Emotes On Yourrage 😭😭 #imdontai #yourrage #imdontaiclips ##yourragegaming #yourrageclips #yrg,39007,18
p3Wf7lqfZ0I,ImDontai makes a beat with YOURRage echo! #funny #imdontai #yourrage #faze #knees,197,79
mDYdzF_mWb8,"\""You can't, that's knees\""😭💔#imdontai #foryoupage #trending #fypシ #fyp #yourrage#yourrage",42430,13
_9ZbJZnlZyE,Imdontai reaction to CoryxKenshin calling him an archenemie 😂,620126,56
xxerrqp1jps,ImDontai caught at streamer university,799,32
Et1SboPY7Ow,ImDontai Defends His Friend CoryxKenshin 🥹 #shorts #coryxkenshin,1128630,33
xiknmrDt1xE,ImDontai CRASHES Out! 😂,39592,22
8-m4l-Yr57Y,Travis Scott's NEW Meme 😭💀,24193804,19
oipyYYb35mg,I tried not to laugh… 😭,6079874,44
GHstQTMP-l8,ImDontai REACTS To Doechii Anxiety 🔥,3289480,20
8hC5Xq9TnMs,ImDontai cooks YourRAGE😭💀,4198006,19
FpKxYHSLjOI,Shout out Im_Dontai for watching our movie O.C.D. OUT NOW! #imdontai,2085318,64
oeDD4yUzfrI,Wobble it Wiggle it HUH 🤪,3040378,20
5HZWeqXy4dY,How did he get away with that?😂💀,1652252,22
VDy3hVFZpew,"ImDontai REACTS to Doechii \""DENIAL IS A RIVER\"" 🤯🔥",862137,13
HmcR8ifZfGM,Imdontai reacts to the tamo navy guy part 1,1271757,60
Et1SboPY7Ow,ImDontai Defends His Friend CoryxKenshin 🥹 #shorts #coryxkenshin,1128630,33
Sg2gMFbXEyg,FUNNIEST Jackboys 2 Reactions!,773904,60
TjE51CklM5M,ImDontai REACTS To Travis Meme Song 😂,793124,21
_9ZbJZnlZyE,Imdontai reaction to CoryxKenshin calling him an archenemie 😂,620126,56
hTax2KXYjHs,😂😂 #imdontai #music #flute,706372,15
xuWXjsIoN34,Dontai started making a beat out of yourrage echo 😭,517522,79
U2ooaePNr0k,Top 10 Reactions To Lil Wayne Peanuts 2 N Elephant #fyp #shorts #lilwayne #reaction #thacarter6 #rap,418990,60
ENC82OmoWAA,Dontai reacts to drakes new album 🙏🏽😭 #imdontai #drake #funny #somebros #trending #fypシ゚ #shorts,280284,25
V4bkN5XvGjM,Dontai wasn’t expecting this intro from Gelo #funny,474773,19
3XKHO15_lOE,Kai Cenat Meets Stacks & Cheeto Then Gets Bullied In Gta RP 😭,398101,25
kKiWOKSwV68,Dontai spits some Eminem bars on YourRage stream 😭🔥 #eminem,345311,56
