video_id,title,view_count,duration_seconds
X8RqP_JgviI,"Actions finally have consequences.. 2 minutes, 17 seconds",,137
Apr74GfUVjw,I wanna see bros internet history 💀 #reels #funny #explore #memes,30147,24
K8Pgq4fYf60,"WW2 vet is going viral.. 1 minute, 32 seconds",,92
KoEAnGYsXkE,"Technology has gone too far.. 1 minute, 54 seconds",,114
MVRYlXY1l_o,"Another one bites the dust.. 2 minutes, 3 seconds",,123
Pan1m_a8yCQ,"Idubbbz has hit rock bottom.. 1 minute, 37 seconds",,97
7eDChwIiJjM,"People have found the receipts.. 2 minutes, 3 seconds",,123
qKWUkR3R-aU,Fin’s history lesson | Fin vs the internet with @JyotySingh,258052,61
kll2P8i0cYY,"This sheriff is a national treasure.. 1 minute, 34 seconds",,94
Xy8zGUr0-Dg,"People have lost their f**king minds.. 1 minute, 34 seconds",,94
h-yJIiwYa1U,"Are we for f**king real now?? 1 minute, 24 seconds",,84
7_gvICMTeqM,"Bill Gates Just Pissed Everyone Off.. 2 minutes, 3 seconds",,123
dJLYQXnvRsw,"Most Controversial Clip on the Internet Right Now 3 minutes, 24 seconds",,204
K6Nl9V7Wk3w,"F*ck it, I'm posting it.. 1 minute, 34 seconds",,94
S6aV5dkHJ6E,"NO ONE SAW THIS COMING.. 2 minutes, 17 seconds",,137
YINgauCfFsU,"This sheriff broke the internet.. 2 minutes, 17 seconds",,137
xPFAS9PlKm4,"Arnold just ended their careers.. 2 minutes, 34 seconds",,154
i-AH70lNraU,My Favorite Video On The Internet,2292864,35
ZC3-Gpc4eG4,"This is going viral right now.. 1 minute, 53 seconds",,113
n1lV0c-lYIo,"Pokimane has hit rock bottom.. 2 minutes, 37 seconds",,157
el_wBe0d69w,TOP 5 FUNNIEST AI BABY VIDEOS ON THE INTERNET 👶 #shorts #funny,15028377,56
3zg6-evbrhE,Ranking Most Funniest Internet Memes!,8064381,26
xPFAS9PlKm4,"Arnold just ended their careers.. 2 minutes, 34 seconds",,154
cmywRzVp0Bo,"People have found the clip.. 2 minutes, 3 seconds",,123
wd8L-oWvppo,"Tony is going viral again.. 1 minute, 24 seconds",,84
kll2P8i0cYY,"This sheriff is a national treasure.. 1 minute, 34 seconds",,94
lxJG6FBo9h8,"Microsoft f*cked up real bad.. 2 minutes, 37 seconds",,157
Lk9MRKCCYa4,"Pokimane f*cked up real bad.. 2 minutes, 17 seconds",,137
n1lV0c-lYIo,"Pokimane has hit rock bottom.. 2 minutes, 37 seconds",,157
ZC3-Gpc4eG4,"This is going viral right now.. 1 minute, 53 seconds",,113
JOaOzADUcHs,"Disney f*cked up again.. 1 minute, 34 seconds",,94
UP58cboa9FE,"Huge influencer just nuked his career.. 2 minutes, 37 seconds",,157
xkwNXZ-HI18,"Pokimane f*cked up even worse.. 1 minute, 37 seconds",,97
S6aV5dkHJ6E,"NO ONE SAW THIS COMING.. 2 minutes, 17 seconds",,137
tZETVBo8UnI,"PirateSoftware situation got even worse.. 2 minutes, 17 seconds",,137
kQyBiRbJQ4Q,"Holy f***ing sh*t.. 2 minutes, 17 seconds",,137
Xy8zGUr0-Dg,"People have lost their f**king minds.. 1 minute, 34 seconds",,94
r1O23tr-NFs,"People have found another clip.. 2 minutes, 17 seconds",,137
H-a0Xna1wcQ,"Tony just doesn't give a f*ck.. 1 minute, 24 seconds",,84
74Weif-TpM0,xQc reacts to 'Sora 2' INSANE AI Edits 😭 #xqc #sora #ai,2832368,58
