video_id,title,view_count,duration_seconds
NP0gnrqvvvU,"JaidenAnimations Is \""Not Good At Dancing\""...Apparently",912267,21
DQsCZlOOX3o,JaidenAnimations Gets Mistaken For Emiru,6402359,63
9qVIpklCJA8,Storyboard vs Animation: Mr. Beast Cube (shot 15),5382014,41
QYfqZ01XNG0,Best dancer... MEGAN!!!,8391245,40
NuRGMajyET8,"\""Is Jaiden A Good Roommate?\"" - (Alpharad)",529210,23
niN8WFJHw5M,The WORST Kid EVER!!,1522150,30
LxMXF8WAhrY,"How Jaiden ALMOST Ended Alpharad's Subathon... 3 minutes, 10 seconds",,190
UEeo-uU---Y,getting mocked..,12557704,22
wZfw7lXSs4c,Why Jaiden is Clickbaited,1908146,11
y91-2ITboys,alpharad’s videos referenced in jaiden animation’s video,1717158,39
xsuQF59QhuE,Storyboard vs Animation: I got a cat. (shot 20),10958948,41
5zG77xhbcQQ,he got scared..,4012270,32
t4BSvrbXe6Y,Storyboard vs Animation: Pokemon Too Many Types (shot 33),3784225,54
Qd4iflwkLus,Storyboard vs Animation: My Funniest Fan Interactions (shot 7),2941573,17
fVSXg7_NPAU,Best sports Team…,22443599,14
XDuGBcv_R80,Her Parents Hated DOGS?!?! 😳 #jaidenanimations #animations #cartoons #funny #meme #skit #lol,55118,58
gCs6mZEyKtI,Storyboard vs Animation: My Funniest Fan Interactions (shot 12),539663,30
QtMZwVMXB34,Tostada edit @jaidenanimations,156071,7
ChI27RzJV48,"Artist Ranks Youtube Animators in a Tier List... Jaiden, Odd1sOut",6000,20
bImK3gKK6KY,Tostada addition  #jaidenanimations #funny ￼,22014,15
_n2pVxC7IJI,Storyboard vs Animation: I went to Japan (shot 12),17729962,34
fVSXg7_NPAU,Best sports Team…,22443599,14
xsuQF59QhuE,Storyboard vs Animation: I got a cat. (shot 20),10958948,41
UEeo-uU---Y,getting mocked..,12557704,22
gxiy1jpzWvU,Schlatt Did NOT Mean To Let That Slip,9127882,28
QYfqZ01XNG0,Best dancer... MEGAN!!!,8391245,40
9qVIpklCJA8,Storyboard vs Animation: Mr. Beast Cube (shot 15),5382014,41
DQsCZlOOX3o,JaidenAnimations Gets Mistaken For Emiru,6402359,63
5zG77xhbcQQ,he got scared..,4012270,32
t4BSvrbXe6Y,Storyboard vs Animation: Pokemon Too Many Types (shot 33),3784225,54
ImKKi5I-C-s,getting grounded...,4057737,39
8u2AJauvVjA,The WORST Teacher Ever,3235342,49
Qd4iflwkLus,Storyboard vs Animation: My Funniest Fan Interactions (shot 7),2941573,17
UBdzgHlx8ts,Storyboard vs Animation: My Funniest Fan Interactions (shot 27),2389861,35
niN8WFJHw5M,The WORST Kid EVER!!,1522150,30
6D_fI6v6AfM,universe send cat???,1472964,33
r0bvpVEbCuM,Storyboard vs Animation: I have ADHD (shot 9),923549,22
y91-2ITboys,alpharad’s videos referenced in jaiden animation’s video,1717158,39
