video_id,title,view_count,duration_seconds
ONCZCsVcPoM,"YouTuber Jenna Marbles resurfaces 5 years after disappearing from social media 1 minute, 54 seconds",,114
cd3F0vW1YLo,Jacksfilms's feud with Jenna Marbles was iconic,117951,60
QF_JGtqMN_I,What has Jenna Marbles been up to in the past 5 years?🤔... #jennamarbles #youtubestar,45367,42
vIo45zQEJOw,Jenna Marbles canceled herself,47819,58
RNCO1WJfwLg,"jenna marbles funny moments 1 minute, 32 seconds",,92
iN7n8jwDUR8,What Really Happened To Jenna Marbles? (Downfall) #JennaMarbles #Downfall #WhatHappened,21454,88
Q6AKaH3nteM,"It's a pleasure @JennaMarbles 🍭🍭🍭🍭🍭 Introducing Tiki; but you can\""t keep her",112,8
rZuyHj1pYvk,0125 I am art. #art #jennamarbles #school #student #kids #childhood,20,7
t_Z3bE9VRjM,Is Jenna Marbles still making money on Youtube??...👀🤑  #jennamarbles,8003,58
UBAO-rjInKc,Does Peach still owe Jenna money?💰,20444,13
kleGjaut3ME,Never again! #jennamarbles #garbageplate,34,13
tUXklyMmc0o,@JennaMarbles Who else relates to this?😫#youtube #oldtube #funny #nostalgia #comedy #fyp #2012,2,60
fYWZbXbObI8,jenna marbles funny moments part 2 1 minute,,60
olh9nwj7zXM,Дженне Марблс исполнилось 39 лет - Happy Birthday Jenna Marbles,40542,5
05Pm8J7_HHY,IM SO UPSET,50,57
Ko9rqWQjwkY,inspired,2212,9
9xpl-oh5WL8,Why not?!🤔😏 #relatable #theface #jennamarbles #shorts #jokes #smile #lipsync #handstomyself #funny,6500,6
SnUZ8onaXRQ,how do i get a job ! Hilarious comedy #hilarious #comedy #hillaryclinton #jennamarbles,144,46
FFSfmj67Ebg,@itsGrace & @JennaMarbles  #youtube #oldtube #nostalgia #jennamarbles #funny #comedy #fyp #2015,,60
hgAMOGmymVQ,Jenna Marbles: From YouTube Star to a Life of Tranquility!,469,40
ONCZCsVcPoM,"YouTuber Jenna Marbles resurfaces 5 years after disappearing from social media 1 minute, 54 seconds",,114
cd3F0vW1YLo,Jacksfilms's feud with Jenna Marbles was iconic,117951,60
vIo45zQEJOw,Jenna Marbles canceled herself,47819,58
QF_JGtqMN_I,What has Jenna Marbles been up to in the past 5 years?🤔... #jennamarbles #youtubestar,45367,42
olh9nwj7zXM,Дженне Марблс исполнилось 39 лет - Happy Birthday Jenna Marbles,40542,5
YHhOlJZ5oIg,"Can you guess the voice?Zhong,rumi,Lexi,JoJo Siwa,jimin,Jenna,derpy tiger,andrew davila #shorts#quiz",24487,56
12_jA2Ky1a4,@lizakoshy vs @JennaMarbles  art tutorial be 👍🏿 like #shorts,40036,13
XXVQUYkMhvo,I'm making so many more too 🫢 #suncatcher #jennamarbles #whimsical #forestcore,10405,7
MixMcA4tJFw,Doing Jenna's 'Hell Yeah' brows,12903,62
P4GP1QxDXlw,Jenna Marbles Vines #vine #funny #vines,13405,79
09IsyRh-eu8,"Can you guess the voice?Jimin,Lexi,Jisoo,PewDiePie,Jenna Marbles,Brent,Demon,Celine #shorts#quiz",12525,48
4fYz5oiaDtc,wanna bring Jenna Marbles back😣 #goldenpup #dog #goldenpupppy #dogbreed #goldenpup goldenretriever,5507,26
t_Z3bE9VRjM,Is Jenna Marbles still making money on Youtube??...👀🤑  #jennamarbles,8003,58
eegPrZIXRpI,wanna bring Jenna Marbles back😣 #goldenpup #dog #goldenpupppy #dogbreed #goldenpup goldenretriever,3303,21
BlQLrkCXlG0,I wanna bring Jenna Marbles back🔥#goldenpup #dog #puppy #goldenpupppy #goldenretriever #puppyface,2988,26
2X800nBkWSU,Beautiful baby Goats Masti#goat #shortsfeed #babyanimals #@animalshome467 @JennaMarbles,7146,13
9xpl-oh5WL8,Why not?!🤔😏 #relatable #theface #jennamarbles #shorts #jokes #smile #lipsync #handstomyself #funny,6500,6
W4dIYPuvvJw,wanna bring Jenna Marbles back😣 #goldenpup #dog #goldenpupppy #dogbreed #goldenpup goldenretriever,2099,21
BRMKLiaZJKk,#Jenna Marbles#labubu #cute #funny #fashion #shorts 🌈🍡🍭,5752,6
81xlWWLxCmk,When Jenna got a new face 😹 @JennaMarbles #shorts #funny,1631,34
