video_id,title,view_count,duration_seconds
bH3bGnw0Mf0,"Tariffs! Jimmy O. Yang new standup bit! 1 minute, 23 seconds",,83
V-X3KHr89to,London Stop Being Cheap with Your Air Conditioning | Jimmy O. Yang,858447,57
uX8MpstN7VM,I can't go to Chinese restaurants with my friends anymore | Jimmy O. Yang,339178,34
FWGCs0EY_mo,Gotta watch how close that sign is to your face | Jimmy O. Yang,166696,18
b78qJYJsy3Y,It's not really a choice | Jimmy O. Yang,136740,53
_VGAgISXPUA,Why Jimmy O. Yang Stopped Going To Chinese Restaurants 😂 - Joe Rogan  #podcast #jrefunnymoments,706401,23
LUE7ae58Fdk,Conquering Childhood Fears: Jimmy O. Yang's Hilarious Take!,26828,44
ckxVkUZDI5U,Hypochondriac Parents | Jimmy O. Yang,121708,23
7DRYE_Z41fE,Asian Halloween Costumes | Jimmy O. Yang,212225,43
sFqVofhxVlM,It's a good deal | Jimmy O. Yang,178338,25
SE3V52OL3j4,Free Bird | Jimmy O Yang | Comedy Time,7560,173
E4qpSr9m7Xw,Hey! Pick Me Up! | Jimmy O. Yang #comedian #funny,1672,60
WjGrx7nmNow,Jimmy O. Yang comparing feet etiquette hits different 💀 #JimmyOYang#StandUpComedy#AsianHumor,20038,40
kjSn6x3QXNk,The girls meet Jimmy O Yang!! @LowballJim #animation #cat #cute,647038,42
YiljO4U0UAI,"Everything Asian and funny, Jimmy O. Yang brings his newest comedy tour \""Big and Tall\"" to Hawaii 3 minutes, 54 seconds",,234
M5kGN4e9_zE,My Fave City in Canada | Jimmy O. Yang,148396,45
KS52a16JrdE,Jimmy O. Yang talks about Matt Damon in Ancient China_!,14512,52
LctzaMkiPnU,Apparently tall people have fun at concerts | Jimmy O. Yang,99387,44
nwtSnX9gcJE,Grocery Donations | Jimmy O. Yang | Comedy Time,5235,113
sf1wup9EZL0,Jimmy O. Yang Funny Moments,,93
kpY1R6MFJ-Q,"It's Not Love, It's A Good Deal - Joe Rogan #podcast #jrefunnymoments #comedian #jimmyoyang",6157644,22
W6bRaJ2A_RA,아시안 국가별 실망할 때 내는 소리😂,6308974,61
r0dp6quOn9k,미국 시민권 따자마자 한국인 됨🇲🇽🤠🇰🇷,2962375,61
KWnMDOWo00c,아시안이 수학 잘하는 이유(?)😂,2622397,60
7IIQ-i5K1Kc,한중일 실망했을 때 반응 차이ㅋㅋㅋ #standupcomedy #jimmyoyang,2743650,60
LJtqNn4OtYs,Jimmy O. Yang Was In A Rap Group😂😂😂| Dr. Phil Live Ft. Jimmy O. Yang #shorts #comedyshow #funny,1688420,33
tnkud0WSQOo,🥠 Comedian @Jimmy O. Yang #humor #asiantiktok #jimmyyangskit #jimmyyang #comedy #comedyskit,1215142,60
7ucT7pFTxBw,No such thing as an Asian chef😂 #shorts,1329850,57
WKGtxEiSqBo,"중국집 메뉴 485개, 셰프 삼촌 1명😂",1294899,60
bH3bGnw0Mf0,"Tariffs! Jimmy O. Yang new standup bit! 1 minute, 23 seconds",,83
V-X3KHr89to,London Stop Being Cheap with Your Air Conditioning | Jimmy O. Yang,858447,57
_VGAgISXPUA,Why Jimmy O. Yang Stopped Going To Chinese Restaurants 😂 - Joe Rogan  #podcast #jrefunnymoments,706401,23
6ivEhus9sI4,From Economics to Comedy... Jimmy O. Yang,728487,58
kjSn6x3QXNk,The girls meet Jimmy O Yang!! @LowballJim #animation #cat #cute,647038,42
hvglIbPSHtg,Jimmy O. Yang Loves Hong Kong,500101,51
a7Dv14zqhXk,Aquariums in Chinese Grocery Stores,276890,30
yg3byUM9qZA,Joe Rogan Reacts To Jimmy Saying Fear Factor Was Too Easy  #funny #jre #comedian #jimmyoyang,356319,25
62rXyhn--xE,"Shanghai talk, Jimmy & Daniel style",354090,33
zKK2R3Nh0uw,Love languages complicate things😂 #shorts,363457,43
uX8MpstN7VM,I can't go to Chinese restaurants with my friends anymore | Jimmy O. Yang,339178,34
