video_id,title,view_count,duration_seconds
pAvH7zENrAw,The WAY Nidal Wonder was TOUCHING Salish Matter?😳🥺#nalish #shorts #trending #love #shortvideo #video,3509562,6
ckfhhfCKxCI,Adorable Salish Matter vs Udin din din dun Nidal Wonder😂 #shorts #nalish #salishmatter #funny,1436096,6
u92iGnCEIWE,Jordan is kinda right…@jordanmatter @salishmatter#salish#16#timeflys#crazy#fyp#idk#edit#slay#sad,2872677,14
qMmgdRFZ9kg,Cute sorry?? They are fine shyt!!😭💋 #salishmatter #salish #jordanmatter #nidal #kaido #ferran #yt,13453878,15
KuF-L6n0O9o,GUESS MY DAUGHTER TO WIN $100 #shorts,41790534,43
jixFmNrItM8,Salish matter....🌷 #edits #jordanmatter #salish #byme,5486665,14
JJSE_T4apwM,CAN'T BELIEVE Salish Matter and Nidal Wonder did this tiktok trend?😭😂 #nalish #shorts #trending #fyp,1289761,8
bAcdSUqHnDQ,CAN'T BELIEVE this happens to Salish Matter with Nidal Wonder's thing?!😳🥺 #nalish #shorts #trending,3829245,10
RwT6Qo1q_Wk,They were so cute copying each other! @jordanmatter @salishmatter,9673202,20
yKV8veTETRA,"GUESS THE BOYS AGES, WIN $100 #shorts",16488173,25
e-BBkd7SjlI,Salish and Nidal show who they are talking too #jordanmatter #saysaymatter #salish #salishmatter,674844,20
LOI4hKHDUX0,The WAY Nidal Wonder was TOUCHING Salish Matter?😳 #nalish #shorts #trending #love #funny #shortvideo,855939,7
A4kQRIS3Bqk,This is so embarrassing😭 #salish #salishmatter #jordanmatter,913474,31
UpWSpy_sCQQ,OMG 🤯 Salish Matter New Look 😍 Nidal is Crazy 🤣,1339519,10
RgPWJP1zSPo,Salish Matter is Having FUN 🤣 | Most Silly Video #salishmatter,1724646,16
cLRCn0LdWNY,do i like kaido?? #salishmatter #kaido #jordanmatter,1619128,7
czruXCCbqnU,Jordan matter chasing mila,31149,10
C_EKzfgPOlo,School Starts in a week #jordanmatter #salishmatter,1866064,6
DEeEjZ1_bO4,Salish mentality.. #dontlethisflop #givemebackmykids (video clips from @jordanmatter ),298072,39
_ucNDdCJdz0,Which Shoes Will Protect Your Feet?,161691635,39
gO6zCoFk_o8,BEST FRIEND TELEPATHY CHALLENGE #shorts,116741707,21
K61zK5KLAhg,@jordanmatter  @salishmatter                           Thank you beyoncè. #foryou #salishmatter,68317359,61
PYUzizWLU8Q,Times Nidal and Salish almost kissed | Nidal and Salish Edit | APT. - ROSÉ & Bruno Mars,41209790,38
fu1hgReXScQ,Who Scribbled a Skirt on Jordan Matter?! 🎨👗,32489157,47
9oSXy1wVPmE,Addi is pretty but SALISH !!😍 Jordan Matter Shorts,17083177,30
prHLZOFP2Fw,"I HAVE A SECRET! 3 minutes, 9 seconds",,189
_wZVQMNd_io,The way Salish found out Nidal ❤️ - Nalish  😍   Jordan Matter Shorts,14414593,56
8OA-1XGz8uU,Ranking Funniest Salish & Kaido Moments - Part 5,20198926,44
uefguYkH7Cw,Sailish mentally 💀 #edit #foryou #trend #mentallytough #sailish #jordanmatter,17060284,31
yKV8veTETRA,"GUESS THE BOYS AGES, WIN $100 #shorts",16488173,25
4mXtYMYwwEg,SNEAKING INTO SMURFS PREMIERE TO MEET RIHANNA #shorts,15298011,38
bb5Gk_ZRIVc,If Moana was in Dress To Impress!,8807771,59
8r8QvZf1qrQ,Nidal and Salish funniest moments | Nidal and Salish Edit | Rather Be,12797982,30
l9RcbpMb8sg,How I Get My 3 Year Old Son To Fall Asleep Alone #shorts,11146176,28
JizJxB4wTaI,Salish with Nidal vs Kaido @jordanmatter @salishmatter,11940789,45
qMmgdRFZ9kg,Cute sorry?? They are fine shyt!!😭💋 #salishmatter #salish #jordanmatter #nidal #kaido #ferran #yt,13453878,15
Q7YTUdvGaT8,WOULD YOU FLY TO HAWAII FOR A COCONUT? #shorts,8592660,51
gK-SRfOCVIg,Who kissed Salish? Salish vs Nidal vs Jordan vs Harper,6297400,27
94dCPkTLs9A,I DESTROYED MY DAD’S OFFICE #shorts,7154450,60
