video_id,title,view_count,duration_seconds
RUSb33fzRdk,I love when white dudes dance at weddings,924425,177
9P2tfdVGQyE,Have you ever read a Yelp review for Jail?,2076432,87
VzFO1DcQBZY,"Josh Johnson Wonders: What Would Prince Andrew Look Like with a Normal Job? | The Daily Show 3 minutes, 25 seconds",,205
CqZ7hhJAv48,"Just like Trump, Josh Johnson is standing firm on tariffs #dailyshow #tariffs #trump",1572799,44
-nXaOWAiLAo,Nah this is so funny 😂😂😂. @Talpaltv,1281529,22
upCK_wnUCTA,Trumps hand,513017,39
GlNe6J5ddMc,Trying to give dating advice to my women friends,859063,134
JFzskp7qaII,Ooh People are so mad about Bad Bunny’s Halftime,5325149,171
4tFGvsTkyc0,Cracker Barrel Logo Change,1876230,177
uQ9zu55boIM,How to tell if your friends are depressed,266188,41
rSAusqoUPd4,Men collectively aren’t doing well.,452237,39
dqSBSDXo1H0,Trumps ankles are thiccc,208335,74
mHVAelSeQG4,Jillian Michaels is this biggest loser in slavery debate,1922589,145
Qzussc731v0,Chinas Statement On US Tariffs,4328912,49
lrJpL5jNb-Q,What’s going on with RFK Jr?,553382,90
KGGh6ZSsXu4,How I know if I’m safe in a city,314344,106
chjVeawIbJA,The First Time I Met A White Person,5563791,180
ViJiQNKwZew,Is America The Hottest Country?,371980,156
TDRWpqoTQSM,"She had $3,000 stolen and I have questions",1025040,144
ihhr7pxthac,Is Elon a Super Genius?,509440,137
JFzskp7qaII,Ooh People are so mad about Bad Bunny’s Halftime,5325149,171
BSkDJ7eCpb8,"The following is REAL footage from Portland, 2025. Viewer discretion is advised. #dailyshow",5460146,53
BKCvkgBCTv0,Guys are not ready to learn this,5032933,173
5a1HNFuxfnE,Advice To Women | Josh Johnson,6053427,23
Qzussc731v0,Chinas Statement On US Tariffs,4328912,49
8182USCFRYs,How IRL Triplets Decide Who Goes to Jail,3448801,76
rBtAdrY7ubs,"Trump has a plan to bring down drug prices. Does it make sense? No, but he has a plan! #DailyShow",3359386,115
5Ubu-BkRARs,South Park and Trump,3831854,53
O1YpPrK47fM,I remember when text messages weren’t unlimited,2937971,165
dIB2imRfklc,When a woman goes to the man’s place for the first time,2921695,64
7o_-d2wadQw,Gangs have office hours,1583103,57
CqZ7hhJAv48,"Just like Trump, Josh Johnson is standing firm on tariffs #dailyshow #tariffs #trump",1572799,44
dWLdBvd_unQ,Trump Threatens Rosie O’Donnell,2181381,178
9P2tfdVGQyE,Have you ever read a Yelp review for Jail?,2076432,87
mHVAelSeQG4,Jillian Michaels is this biggest loser in slavery debate,1922589,145
aMWTF7RZRzU,The only people who reacted worse than Trump this week,1668738,179
ENWDG7vG47A,teachable moments with @natejackson,1536284,101
9ob1kD5XtPk,There are 3 types of dollar stores,1699142,57
-nXaOWAiLAo,Nah this is so funny 😂😂😂. @Talpaltv,1281529,22
ufKKBIKaAKs,His Teleprompter Broke 🥺,1353656,121
