video_id,title,view_count,duration_seconds
-fltwFXtezo,"When overweight people get a job at the Gym 2 minutes, 58 seconds",,178
lX4kes-pbd8,"When you're talking to a girl and your homie won't leave 1 minute, 44 seconds",,104
_I_wN0LvuEE,"Why Captain America wasn't around during segregation 2 minutes, 32 seconds",,152
9KoPXgCE478,"When kids see other kids with Cancer 1 minute, 14 seconds",,74
x6XqGIr4c5s,"What it's like going to music festivals in America 2 minutes, 40 seconds",,160
irOMn-FYSKE,"Drake after the Super Bowl Halftime Show 2 minutes, 34 seconds",,154
fMmvZ0zfQoY,"When WNBA players want more money 2 minutes, 43 seconds",,163
V9gHg_BHwI0,WHEN YOU GET YOUR MEDICAL BILL 💵 🏥 #longbeachgriffy #shorts #comedy #skits #fyp #fortnite,586,58
_5RGLvMTwsM,Wearing the shirt of an anime you haven’t finished #longbeachgriffy  #funny,1666,23
mvA0xidwOx0,LongBeachGriffy Top 4 Skits #memes  #funny,1439,61
BzF9gaov2dw,Chat Is LIFE!! #funny #reactionvideo #longbeachgriffy #youtubeshorts #chatgpt #shortfeed #iphone17,1024,39
P5kguhwrUfw,No way #longbeachgriffy #kashtime #reaction #funny #jokes,618,7
bfM3bGVkgKo,When the hostages start being annoying as hell 🤬 #longbeachgriffy #followformore #darkhumor #shorts,520,57
UfuzDsgdd6w,When a Ghost Tries to Kick You Out of Your Own House! #shorts #short,18018,63
ZsdJRg70m-g,When You Try to Rob a Gay Dude. #longbeachgriffyreaction #funny #reaction #longbeachgriffy #comments,717,38
SOFi8F5B6xM,@LongBeachGriffy #funny #comedymemes #duet #shorts,1089,31
Lxp1ypCbO-I,@LongBeachGriffy 😂😂😂 #jarvishadme #funny #comedyjokes #trending #memes #bruh #fyp #foryou,11,59
5XldYQstQpM,@LongBeachGriffy when you making a project😂 #funny #memes #trynottolaugh #shorts,913,68
CPGB5gqRSzc,We DONT CLAIM YOU!! #funny #reactionvideo #fyp #iphone17 #longbeachgriffy #youtubeshorts #shortfeed,835,45
oIPfcTATFIE,Long Beach Griffy Is Top 2 #longbeachgriffy #memes #2k26,1431,18
DKTgKKuNqOc,"When they only tell their side of the story 2 minutes, 44 seconds",,164
_I_wN0LvuEE,"Why Captain America wasn't around during segregation 2 minutes, 32 seconds",,152
x6XqGIr4c5s,"What it's like going to music festivals in America 2 minutes, 40 seconds",,160
UWPDWsKCYOI,When Your Girlfriend Introduces You to Her Parents #comedy #shorts iB:@LongBeachGriffy,51209,58
SgOq83Oo2Qk,"When you discover Superman's Identity 2 minutes, 23 seconds",,143
r32EPnx6d3w,"When a Hood dude gives his life to Christ 1 minute, 32 seconds",,92
UfuzDsgdd6w,When a Ghost Tries to Kick You Out of Your Own House! #shorts #short,18018,63
I3UR8J0Qf-o,How thanks giving about to be 😂 @LongBeachGriffy #funny #skit #comedy #viral #relatable,7363,49
Hq-ERxsAStQ,@LongBeachGriffy Advice Drake On What He Should Do After The Superbowl Performance😂,3329,61
DGNW1zBzT_k,100 Men vs 1 Gorilla,6478,15
tU9mVGM26r4,Mother Today #TheManniiShow.comseries iB@LongBeachGriffy #satisfying #cookies #funny,4148,54
JjBKOVH6lbs,When Your Girlfriend Introduces You to Her Parents iB:#comedy#shorts‪@LongBeachGriffy‬,2629,58
6ROLJ63CR2I,ICE will deport ANYBODY part 1 #longbeachgriffy #iceraids #latinamerica #losangeles #fox11news,2747,60
oCkHK3I-48k,Think Before You Rob Someone.@LongBeachGriffy #shorts #shortvideo #longbeachgriffy,899,77
_5RGLvMTwsM,Wearing the shirt of an anime you haven’t finished #longbeachgriffy  #funny,1666,23
mvA0xidwOx0,LongBeachGriffy Top 4 Skits #memes  #funny,1439,61
iBH-hNcMbHA,That old lady at work 👀😂 #funny #comedy #skit #tylerperry #trarags #longbeachgriffy,799,10
ofyD6NeR7Hg,I don’t get on how that works  #longbeachgriffy #Comedy #shorts #relatable ￼,1095,51
ZsdJRg70m-g,When You Try to Rob a Gay Dude. #longbeachgriffyreaction #funny #reaction #longbeachgriffy #comments,717,38
VRokgZzB8XY,첫 콘1둠 구매 #longbeachgriffy,1672,59
