video_id,title,view_count,duration_seconds
3xfSptraAq4,Ranking The Funniest Markiplier Moments 😭,82649,31
u5ObW3_AQfk,Nestle Crunch meme 6 I #nestlecrunch #memes #shorts #markiplier #punch ,4301329,9
OAfBGCyT5Lo,Ranking best Markiplier moments,298005,58
u9jCVW0S_o4,Best Markiplier Moments Ranked #shorts @markiplier,4622110,60
0sX746iR98A,"Meme | Markiplier, Metro Man, Edit",8702307,11
Dpiy7DPK6s8,wait a minute...MARKIPLIER?!?! #fnaf #memes,2615302,18
bZmEI8P1qSU,Top 5 Funniest Markiplier Moments You Missed! #funny #ranking #markiplier #youtuber,14328,74
eWOp2tMPAMU,Best Markiplier Moments Ranked #shorts @markiplier,2495429,59
mHjVzZhLcA8,We tazed @markiplier 😅,8660675,45
AKQZuiX_6YA,Best Markiplier Moments Ranked Pt.4 #shorts @markiplier,4086511,60
lTB53xwfyXg,Best Markiplier Moments Ranked Pt.12 #shorts @markiplier,1450027,60
_Aq54FSah_g,The Life of Markiplier 🕹️,287437,60
hR5R4vcYeKY,Markiplier MOST FUNNIEST Names Himself Moments #markiplier #shorts,158870,22
jcxD7K3C95I,Markiplier BEST MOMENTS,44766,41
C2wmSHfF0FA,11 years of buh-byes    #markiplier #funny #edits #gaming #edit,19151933,48
aNLfUdRkCdY,Markiplier Hates Me.,2901046,107
6BZoZ5DeKd8,Best Markiplier Moments Ranked #shorts #funny #ranked,1517377,60
GXJYROVq_6Q,Markiplier MOST ICONIC Moments🐻 #markiplier #fnaf #ytshorts,2024492,47
d1S-Z6nD-fA,Markiplier *VOICES* a new character in TADC Ep.6!?,771025,43
m0p9u9GOwXo,Kratos Saves the Day at the Game Awards: Christopher Judge’s Epic Moment,29595559,27
IF8mM04FT18,Times When Real Men Cried #markiplier #bestyoutuber #sad ,38641538,25
uPukCu3vjdA,When Messi Reacts Ronaldo Win Ballondor...🤣,34576941,19
rug-05lL1UM,Please help me I’m stuck in a VR loop #fnaf #vrgaming #horror #freddy #surgery #vrfail,34709198,26
SvJ0RxwJL90,i can't 🤣🤣🙏🏻#squidgame3 #kdrama #netflix #edit #funny,36839248,8
C2wmSHfF0FA,11 years of buh-byes    #markiplier #funny #edits #gaming #edit,19151933,48
wbAMJDHrwgc,Bhuvan Bam’s Funniest No Chill Moment! 😆,36479023,5
gJKz-tJtBbU,Bro risked his life for a challenge••💀 #blowup #foryou #funny #challenge #oktor #shorts,11396890,29
6vj9geF-AJU,Ranking The Craziest PC Setups Ever,20120877,26
MUQGOz2QldM,The Bite Of 87 IN REAL LIFE | FNAF Movie 2 MEME,11147583,13
3iG7WK-rVd4,Forgot to Thank Mom…?🫶,16719232,53
cxtx5U5BxzA,Top 3 Funniest Horror Game Moments! ( bro danced from fear) #horrorgames #streamerfail,13250290,35
s-5wLBIIHiI,Bro why is freddy SPRINTING 😭💀,14024081,58
0tJTPCMZeNc,When The Middle Child Thought He Caught A Break,13198273,42
_1_0WqGD00g,🆚Strong Run Challenge | Who was the strongest?🥸 #funny #foryou #challenge #shorts #gym #strong,15200599,15
mHjVzZhLcA8,We tazed @markiplier 😅,8660675,45
JdX4O5sJj8w,Try Not to Laugh Challenge 982 🤣 #funny ⁠#shorts #vira,6240717,50
IMpwdno1Dxs,Wrong answers only CHALLENGE 😳 (pt.1),7793782,119
93L7bVAYeLw,Ranking the Best Megamind Edits PART 11,9010696,32
0sX746iR98A,"Meme | Markiplier, Metro Man, Edit",8702307,11
