video_id,title,view_count,duration_seconds
Pzhm_D4GMIs,jason and ryan higa #jasontheween #jasontheweenclips #fyp #trending #twitch #faze #milo #dogs,2731,49
Ps3g4CAMyyU,Jay Park Shouts Out Ryan Higa aka nigahiga On JasonTheWeen's Stream 27 seconds,,27
Ti1iYw-JVoc,What Happened With Nigahiga?🥺,619834,52
fsN3KYRYNOA,Fuslie EDUCATES Ryan & Miyoung on What “Rawdogging” Means… Instantly Regrets It 😳💬,17893,60
3gPvRPuT4fA,we all knew how to be gangsta #iykyk #nigahiga #ryanhiga #asian #wasian #handshake #2010 #youtube,312,17
y-srA5Uv0ko,Too 3 YouTubers of all time #throwback #nigahiga #goat,636,25
0WEcaxymHK4,#ryanhiga #nigahiga #thebestjokeever #funniestjokeintheworld #youtubeshorts #funny #memes #reaction,42,16
dI3_lFGmMZ0,Ryan Higa Reacts to Fuslie Not Using Body Wash 🧼 #shorts,7617,55
KrmhhbhYzW8,Ryan Higa Is Done With YouTube.,799,19
qLn4KS9Ji-I,Whatever Happened To NigaHiga? #NigaHiga #RyanHiga #WhatHappened,1603,61
_6KkbXkgPRw,Ryan Higa Reacts to Fuslie’s Half Shower Hack 🚿 #shorts,4750,47
LpIuDe7IKvQ,CLUELY CEO SINGS NIGAHIGA,70,17
RR791nMSFFI,Nigahiga escalator prank #shorts,2112,9
P17zKJquVKk,Funny video 🤣🤣🤣,571,21
1X9YDNziH6s,Subscribe To Ryan Higa,98,8
dPWeX2M6j0Q,@ryanhiga How to be Gangster 💪🏼#youtube #oldtube #nostalgia #2007 #funny #comedy #fyp #gangster,5,59
ucz3bSzzMNg,💥 MrBeast Reacts to Nigahiga & Technoblade’s EPIC Moments! 🎮🎬,18879,30
bUjtuozxtVM,Presidents Talk About Nigahiga #memes #mrbeast #trump #biden #obama #ai #jokes,22,60
faV9wznAcOY,@ryanhiga how to be ninja 🥷🏻⚔️#youtube #oldtube #nostalgia #funny #fyp #comedy #2007 #nigahiga,21,38
-bkUuzgXu_E,#funnyshorts #funny #nigahiga #fypviral,12,26
Ti1iYw-JVoc,What Happened With Nigahiga?🥺,619835,52
oWcJ0FFTov4,Fanfan's Most Embarrassing Moment,503392,27
-VDCpQzUJdE,Ryan IMITATES Valkyrae in REPO,141967,45
X2AGvXL0SyQ,Bottle collision of @ryanhiga  #tempoapp #shorts #nigahiga #roadto1ksubs,228096,7
JoBOSC6EnOQ,Unfinished Drawing Of Pac-Man😂 #comedy #shorts iB:@ryanhiga,47390,74
WBD6wEe1vEg,FaZe Adapt IRL Streams are PURE COMEDY (HARD WATCH 💀😭),31496,43
EPQHnR4CSAc,#funnyprank#funnyvideos#pranks#funnyreaction#trynottolaugh#haha#comedy #comedytime #funny #memes,26865,60
FBk1q5uxhlc,#funnyprank#funnyvideos#pranks#funnyreaction#trynottolaugh#haha#comedy #comedytime #funny #memes,20413,60
fsN3KYRYNOA,Fuslie EDUCATES Ryan & Miyoung on What “Rawdogging” Means… Instantly Regrets It 😳💬,17893,60
ucz3bSzzMNg,💥 MrBeast Reacts to Nigahiga & Technoblade’s EPIC Moments! 🎮🎬,18879,30
PoXiIMy2k6Q,HOW REAL WASIANS GREET EACH OTHER #iykyk #howtobegangster #nigahiga #asian #wasian,8437,18
VoPF_tEEgmI,WHAT HAPPENED TO NIGAHIGA?,2231,157
Pzhm_D4GMIs,jason and ryan higa #jasontheween #jasontheweenclips #fyp #trending #twitch #faze #milo #dogs,2731,49
7pmYQS9JeVw,Streamer Fanfan Can’t Handle Old Nigahiga 💀😂#funny #viral #shorts,2036,43
qLn4KS9Ji-I,Whatever Happened To NigaHiga? #NigaHiga #RyanHiga #WhatHappened,1603,61
qrOX7IxJrsY,Light chali gai #reels #harekfriendkaminahotahai #newमारवाड़ीcomedy #comedyvideosfunnyvideos,1109,40
SPMEUlb1Bsg,What was Nigahiga prime like,1789,31
eDt3wNj7Ejk,Jay Park Shouts Out Ryan Higa aka Nigahiga!,1168,27
OjgTmZ-vGyY,Millionaire’s Mishap! 😂 Tagging @PewDiePie @Smosh @Nigahiga @RhettAndLink @CodyKo @NoelMiller,1296,37
RR791nMSFFI,Nigahiga escalator prank #shorts,2112,9
