video_id,title,view_count,duration_seconds
EgVBfOUWN_g,"Allergies aren’t real 1 minute, 31 seconds",,91
DKDeo4QiIQs,"Uncle Roger Cancelled By China 1 minute, 41 seconds",,101
VXRV1nd1BBo,“No Birth Certificate” – Bobby Lee Gets Roasted By Theo & Nigel 😂 20 seconds,,20
omvDc9C11mg,I can't believe Theo Von said this! 😳😂 This Past Weekend ft Nigel Ng 25 seconds,,25
mXXilRyHJnk,Uncle Roger review @hoodmeals 1 minute,,60
ATEjHHp9vJg,"Uncle Roger gets AMERICAN 1 minute, 1 second",,61
9xUzNv0pN60,Theo Von & Uncle Roger Go Racist For Racist 30 seconds,,30
IpQRat30KZw,Haiyaa Why Not Real Diamond 36 seconds,,36
EhfWXBxsQVU,The only way to stop Putin 32 seconds,,32
4ytWDtQ4jEw,Uncle Roger roast Nephew Nigel engagement photo 58 seconds,,58
7sZEHM0Re9I,"Uncle Roger vs China with Theo Von Nigel Ng 1 minute, 47 seconds",,107
sl3Z3Cr04ME,Uncle Roger Fried Rice Cake? @linlin_cake 53 seconds,,53
z4A-FLm6wTI,"American vs Japanese ft. @TrevorWallace 2 minutes, 6 seconds",,126
pGd7J96-3a0,"Jamie Oliver Destroys Pho 1 minute, 34 seconds",,94
Onbn43HNDqA,Why Parents Should Hit Kids 53 seconds,,53
NkbZ7fwr-1E,Jamie Oliver finally acknowledge Uncle Roger 46 seconds,,46
f6PpXyYG7q0,Uncle Roger review QCP Fried Rice 47 seconds,,47
iWacrb4TWUw,Uncle Roger review @cookingwithkian Fried Rice 58 seconds,,58
gHk78801UY0,"How The Internet Used To Work 1 minute, 56 seconds",,116
M0AC_LZnTCI,Christmas at Costco with Uncle Roger 48 seconds,,48
iWacrb4TWUw,Uncle Roger review @cookingwithkian Fried Rice,35174268,58
xDH9siLF8u0,When accents collide 🩴🌯 ​⁠@mrnigelng,20688200,42
z4A-FLm6wTI,American vs Japanese ft. @TrevorWallace,16653635,126
f6PpXyYG7q0,Uncle Roger review QCP Fried Rice,4945493,47
ATEjHHp9vJg,Uncle Roger gets AMERICAN,5166664,61
TvewvSkd_H8,Uncle Roger react to ​⁠@naraazizasmith Peach Jam,6333911,72
UJXvDX4XJM4,Esther Choi makes Uncle Roger cry... again 🌶️😢,3912269,55
DKDeo4QiIQs,Uncle Roger Cancelled By China,2818600,101
omvDc9C11mg,I can't believe Theo Von said this! 😳😂 This Past Weekend ft Nigel Ng,3984715,25
IpQRat30KZw,Haiyaa Why Not Real Diamond,1906383,36
NkbZ7fwr-1E,Jamie Oliver finally acknowledge Uncle Roger,2167523,46
EgVBfOUWN_g,Allergies aren’t real,1844334,91
pGd7J96-3a0,Jamie Oliver Destroys Pho,1937997,94
E0acA3aJfJ4,Lobster and Ramen in truck? @mokochan,1535214,78
7sZEHM0Re9I,Uncle Roger vs China with Theo Von Nigel Ng,1711689,107
sl3Z3Cr04ME,Uncle Roger Fried Rice Cake? @linlin_cake,1845503,53
VXRV1nd1BBo,“No Birth Certificate” – Bobby Lee Gets Roasted By Theo & Nigel 😂,1513236,20
EhfWXBxsQVU,The only way to stop Putin,827124,32
QHRIfl90Onk,這貨...是在烤...秋琴？,626804,23
LptRp34-gds,Relaxing Katsu Curry?,820945,58
