video_id,title,view_count,duration_seconds
ak8PoDWv6P0,Jack Black Gets Backstabbed,67827389,49
9LtCPZi0GPw,PewDiePie | Bjorn wears his first suit | They are literally Bond Agents of cuteness | #PewDiePie,26862,19
vlseKGZ1JbM,Top 3 Funniest Pewdiepie Horror game Moments (He hid under the table 😭),3156,44
SeMr4CCHCNk,PewDiePie: 4 Years Ago vs Now,1098077,22
lIg5EwaOjdM,JUICE WRLD MAD IN STUDIO AND REMEMBERED PEWDIEPIE SAID THIS...,424578,18
1BQfaLth598,The PewDiePie Bridge Incident Is Still Massive…,2672320,10
9RiIINRtlLI,Ranking PewdiePie Funny MOments,1940,38
udweQGsncwQ,rainbolt shocked pewdiepie,25382488,32
p643s3YfCxA,WOMEN DON'T PLAY AROUND #funny #pewdiepie,24482,88
30oQ1P4xyEw,Ironmouse Shows Pewdiepie Her Worm Form!,658000,33
Klgcs9lF_Eo,PEWDIEPIE funny memes part 4 Intro EFFECTS#funnymemes#shortvideo#effects#pewdiepie#cocomelon,221645,8
1NjWjdWrZw8,I swear😭#pewdiepie #funny,843,6
ACVJOoN8tDk,pewdiepie tried to beat rainbolt,3375175,36
-mqodBtGM0o,Funniest Tik Tok Of ALL TIME xD [TIKTOK#7] PewDiePie with Funny Comments,773,26
GcXJ2eLo06o,Pewdiepie likes jam on the side #shorts #pewdiepie #funny #viralvideo #video #short #jam,2489,119
lEzRgIj2rOk,Part 2 #pewdiepie #funny,,39
9NkqeKu3AN0,DAY 66 ! PEWDIEPIE IS COOKED💀😈💀 !!! #pewdiepie #vs #funny #youtuber #memes #goldenspoon48,38859,7
gLcovhghpA0,DAY 90 : We're winning PEWDIEPIE ! 🔥🔥🔥 #pewdiepie #vs #funny #youtuber #memes #goldenspoon48,32538,7
wuSoHPGClqk,I Had A Dream About Kai And PewDiePie #funny #caseoh #meme #viralshort,171665,37
suebSaGzZ1g,PewDiePie Reacts to xQc | Funniest Moments  #minecraft #pewdiepie #xqc #pewdiepieclips #shorts,14767,17
m6dUZyXqtYI,Ranking Top 5 JACK BLACK Moments 😂 #shorts #funny,54357830,45
ak8PoDWv6P0,Jack Black Gets Backstabbed,67827389,49
udweQGsncwQ,rainbolt shocked pewdiepie,25382488,32
Xxgx-k5uJhc,We Saved MrBeast From Going BLIND 😱,8906495,39
1BQfaLth598,The PewDiePie Bridge Incident Is Still Massive…,2672320,10
szuVDItUJuQ,PewDiePie or Mini Ronaldo?! Old YouTuber or Old Footballer?! #youtuber #ronaldo #pewdiepie #shorts,3902656,19
ACVJOoN8tDk,pewdiepie tried to beat rainbolt,3375175,36
cQs2CmUE3VQ,SING WORLDS SMALLEST VIOLIN AT 200% SPEED #shorts,2830185,34
3BxcEiBHSWM,Special Pie Pudding-Pie PEWDIEPIE ! Dwayne x Peele x Arnold #aiart #chatgptart Ai No Brainer Edition,1788168,18
MZGHQU75qlU,Pewdiepie is on his Villain ARC! 💀 #asmongold,1283080,139
SeMr4CCHCNk,PewDiePie: 4 Years Ago vs Now,1098077,22
30oQ1P4xyEw,Ironmouse Shows Pewdiepie Her Worm Form!,658000,33
4Zr7plwPXPs,Ranking The Funniest Surströming Moments😂😭 #shorts #funny #surströmming,581922,57
6xEWm8IjwXA,Russell Eats Special Pie Pudding-Pie PEWDIEPIE! 🥧😋 [Ai Edition] #shorts #funny #memes,555751,18
lIg5EwaOjdM,JUICE WRLD MAD IN STUDIO AND REMEMBERED PEWDIEPIE SAID THIS...,424578,18
wuSoHPGClqk,I Had A Dream About Kai And PewDiePie #funny #caseoh #meme #viralshort,171665,37
1evH6dlA3pI,Funniest Minecraft Troll,324378,13
Klgcs9lF_Eo,PEWDIEPIE funny memes part 4 Intro EFFECTS#funnymemes#shortvideo#effects#pewdiepie#cocomelon,221645,8
UXGdCkapdGo,I Wont Eat You,161516,47
DoyI9aCXiJY,PewDiePie funny memes part 4 Intro EFFECTS#funnymemes#shortvideo#intro#cocomelon#pewdiepie,165495,15
