video_id,title,view_count,duration_seconds
oyWOajtrjoA,True story #SpeckOfDust #standupcomedy #comedyshort,124791,125
Vw62RoT54w4,Bad timing…,172422,54
VRC7yTSR-hk,Air quotes for the win,27879,61
eGR_CqtUXtU,"Sarah \""Thug\"" Silverman Hates Kids #funny #shorts @MLB",46687,14
vpojkl7wYyk,Stay mysterious #FunnyPeople,19207,24
-IjmrNZIXPA,Trying something new,4005,26
oygrJsfQLwI,Jeff Ross and Sarah Silverman Reminisce About Old Comedy Roasts.,9133,84
N_dM6kuwh30,Can you tell this was filmed in 2013? #WeAreMiracles #standupcomedy,24661,46
WFEFUAgGy2U,Leopard print is BACK! #SarahSilverman #PostMortem,41509,32
vLP54SVuouM,Tasteless Joke | Sarah Silverman #standupcomedy #jokes,39640,51
Wc2Fq3O3Vdk,I got to the bottom of it #standupcomedy #helpingothers #someoneyoulove,25670,56
MiyLKUoJFhY,Dunkin Donuts: bringing people together #SarahSilverman #PostMortem,38289,87
daPL7eg4NE8,Whoops,38469,60
YCu7UQSZe2Y,Another Thing Barbie Doesn’t Have | Sarah Silverman #standupcomedy,5592,44
EKlaR74mPSM,Is that fair? #SomeoneYouLove #standupcomedy #comedyshort #lifecoach,26733,21
a8mQXf_YawU,A voicemail worth committing to memory #SarahSilverman #PostMortem,48838,55
qxfENALcdQA,Loud. And. Clear.,9464,29
Vg0qxSIBEbY,"Hope you brought bug spray, babe #SarahSilverman #PostMortem",34447,33
_QjK6dXy7ow,It was a different time…,55518,68
SvM7lStGhzE,Roll the clip... @JimmyKimmelLive,217712,114
ryuDVcPy1zg,That’s How Trees Are Planted | Sarah Silverman #comedyshorts #comedy,389157,49
h5lFDfn4xPM,Bobby Lee Is Sarah Silverman.. 😂😂 | Bad Friends ft Bobby Lee Andrew Santino and Harland Williams,289739,32
SvM7lStGhzE,Roll the clip... @JimmyKimmelLive,217712,114
7PACuqOzq1s,You’re So Easy | Sarah Silverman #standupcomedy #comedian,131520,43
F6vF1mtEmmQ,Sarah Silverman's Best Roast Comebacks#usa,112832,84
vLP54SVuouM,Tasteless Joke | Sarah Silverman #standupcomedy #jokes,39640,51
23rgDe78ZK0,Sarah Silverman feels _____ about being Conan's friend. #conan #podcast #comedian #comedy,69347,26
rAIMUuM-ZRg,His Messages Were Gold | Sarah Silverman #comedy #standup,64250,55
eGR_CqtUXtU,"Sarah \""Thug\"" Silverman Hates Kids #funny #shorts @MLB",46687,14
8HLM5MBPNNg,Sarah Silverman talks about squirrels - A Speck of Dust (2017),46836,51
MiyLKUoJFhY,Dunkin Donuts: bringing people together #SarahSilverman #PostMortem,38289,87
cKaUZYyzuis,"Hello, Dad | Sarah Silverman: PostMortem | Netflix Is A Joke 1 minute, 29 seconds",,89
EOVCV9gw6JA,Fancy Hotel Fingers | Sarah Silverman,31018,34
GvXSFA-7MP4,I Thought I Was Bad At This | Sarah Silverman #standupcomedy #comedy,17117,51
ivicw1YtBYU,The Graham Norton Show: Where Chaos Reigns Supreme #Funny #Celebrities #TomHolland #SarahSilverman,30037,61
q9Wy_mP2OMo,Sarah Silverman Roast of James Franco #shorts #funny #comedy #celebrity,28422,51
R5llRF9Xt0I,Sarah Silverman has a long neck 💁🏻‍♀️ #funnyshorts #standupcomedy,15340,34
JQef99TLZWo,Kya nishana hai 🤣🤣 #funny #comedy #memes #viral #youtube #trending #shorts #youtubeshorts,29516,16
MScyVXrhfD0,Sarah Silverman talks about funny bus ride and Pamela Anderson quote Conan,23188,59
V7UPAt0gkhU,When Exes Can Still Joke About It: Jimmy Kimmel and Sarah Silverman,17497,38
