video_id,title,view_count,duration_seconds
W8bGVMHzsmg,I FOUGHT TheOdd1sOut?,667125,17
OLuy2alnBII,Brain Food,19038629,73
GGV0AKlmPfk,If Cybertrucks Were in Horror Movies,17367494,39
xObGkJfjP5Q,Music Street,10604464,61
uD6TCaGZ5XY,Computer Christmas Party,5192391,50
kXQWSJpOKtU,Brainpower,6346372,59
TWS3eTXipGQ,Google Maps 2,8527098,56
erZvC4wo2mE,Spider Soap Opera,2040329,58
kTOFz5YS588,Why My Desktop Looks Like a Dump,2600733,37
4xAaqGBeUIw,Her childhood ​⁠@theodd1sout,7612443,10
oRLUP0Z0aT8,Google Maps 3,10077186,65
-IhRU31tQ3I,SAME DAY DELIVERY @theodd1sout #theodd1sout #djhuntsofficial #comedyshorts #shortvideos #funny,663963,9
wYaZQh_79-4,Let's go Gambling?,4374579,52
JNaAZnJWcxk,Brain Food Behind the Scenes,4456488,91
hVG8WA1J114,Google Maps 4,2231312,46
jNLyd5EvSAY,The WORST Kid EVER!! #animation #theodd1sout #cartoon #funny #injury,24690,37
2imYDUIDnoc,friendship with @theodd1sout over 😔,419201,33
-RGJIJzGvek,@theodd1sout interview hanging out with Mr. Beast for the first time 🤩,344304,14
YbYp9B1AvUY,Odd1sout can see your butt #shorts #odd1sout #theodd1sout #animation #pets #dog #toilet,1303,8
LgE9Hog4sGQ,@theodd1sout @SomeThingElseYT @jaidenanimations #memes #drawing #fypシ゚ #funny #viralvideo,2591,6
GGV0AKlmPfk,If Cybertrucks Were in Horror Movies,17367494,39
OLuy2alnBII,Brain Food,19038629,73
TWS3eTXipGQ,Google Maps 2,8527098,56
oRLUP0Z0aT8,Google Maps 3,10077186,65
xObGkJfjP5Q,Music Street,10604464,61
uD6TCaGZ5XY,Computer Christmas Party,5192391,50
GBiZndeMwSM,Hey there Adobe,3896592,45
JNaAZnJWcxk,Brain Food Behind the Scenes,4456488,91
kXQWSJpOKtU,Brainpower,6346372,59
4xAaqGBeUIw,Her childhood ​⁠@theodd1sout,7612443,10
VX925FcCOYI,Where Do Hands Come From ✋😨✋,4034848,31
nz9PR4IW5S0,Choose Your Cozy,3787709,25
-K5ECd8pifE,Having Tatoos… #theodd1sout #tattoo #parents #relatable #fyp,4054326,60
wYaZQh_79-4,Let's go Gambling?,4374579,52
f8uyS3Qyfl8,Brain Food,2252593,59
Qszi-sbZufk,Parents and tattoos…#theodd1sout #animation #tattoo #mom #parents #relatble #fyp #english,3782350,60
naXNQHqDXw4,Spell Checks Down,3623804,50
kTOFz5YS588,Why My Desktop Looks Like a Dump,2600733,37
PkHb4IW_Nls,What do we know about goats?,2086489,87
erZvC4wo2mE,Spider Soap Opera,2040329,58
