video_id,title,view_count,duration_seconds
9eXz4hAKQsY,When An Arab Eats In An Indian Restaurant ft. @Jordindian & @thatmalluchick,187683886,67
GMHex2iYtzo,Salma Hayek SPILLS THE TEA on Trump Asking Her Out! ☕  #ytshorts #trump,41001643,104
RU6zll_Gbvo,Trevor Noah Pokes Fun Taylor Swift at The Grammys #shorts #youtubeshorts #viralshorts,7337298,59
Hcz20y9_iyM,How The British Took Over India! - Trevor Noah,5832594,180
TWJHAezzZvo,Indian Food Changed My Life! - Trevor Noah,8083435,88
BSkDJ7eCpb8,"The following is REAL footage from Portland, 2025. Viewer discretion is advised. #dailyshow",5455294,53
RaRx52s6MHI,boring vs party parents #shorts,4881295,30
rBtAdrY7ubs,"Trump has a plan to bring down drug prices. Does it make sense? No, but he has a plan! #DailyShow",3352833,115
kx0LW5A5rUY,Trevor Noah on Labelling,1987063,91
u84fh8u1fuM,Tiffany Haddish: The Wild Story of How She Fell for a One-Armed Baggage Handler 😂 | The Daily Show,3769865,60
NZvRgyJY0IU,"Donald Trump is in it, with us! - Trevor Noah",2439619,76
R1TgTZcKNU8,Shane Gillis Roasts Trevor Noah Video,1206406,36
11kxeAnGAjY,Trevor Noah Clay Bobblehead ：The head gradually takes shape - Part 1,2303839,33
XzeLupTvj5I,😂‼️ Full episode is out! Watch in its entirety below! | What Now? with Trevor Noah Podcast,2063327,23
,Only a Trump speech could reference the N-word and still have room to get worse #dailyshow #trump,1672307,84
fBdApb0N704,Trevor Noah Is a Joke,1192437,48
p-S5-mvGqfM,Trevor Noah Why Rich People Are Lazy,1584824,31
d7d_9oGvdoE,I Can Relate With President Trump! - Trevor Noah,1497999,74
hUKKbiYgNfk,"To be fair, the bar is on the floor when it comes to Trump’s interactions with the Black community",1268467,162
