video_id,title,view_count,duration_seconds
oY1DycPhSNI,Cute kid tho 🫢 #podcast #socialexpriment #funnyvideos #gymgirl  #funny #armgame #music,49291830,12
Jj_uNq1EMw8,how to hit on a girl at the gym,26132853,60
QJCY9F-Jxrc,bro does NOT have a filter 😭,23655146,48
z4A-FLm6wTI,American vs Japanese ft. @TrevorWallace,16653646,126
20gM14BXiNg,My Top 5 Dating Show Moments of 2024!,16597704,175
Mg8vG3C0cFA,bro joined the mile HIGH club,21376148,17
dL25EuS7bhY,Who does Trevor Wallace like to date?,22906559,16
DhwN1Jnu_eU,Colombian chick with 6 Brothers = 🚩,18509325,25
Q4PRRrx-lzU,Trevor Mentality 🧠⚡️,11075515,68
FGmeHLd8xDI,is this how Oreos are made???,18028727,15
jWM3iPHsPCk,how to fumble in 4K,8236892,21
Km4n_QcF2K0,Is he allowed to say that?💀 #tiktok #shorts #ranked,12114095,45
uWbV7YwtmF4,social anxiety fears him 💀💀💀,11505137,34
3WNI0EaK1Fw,Try not to laugh: BEST OF AI,13001645,68
Jw9yQvKDDU0,when u 💦 too quick at the Bonnie Blue meet up,10944655,59
-3d2A5XaJY0,The Morning Routine,10269618,69
PkI6NHxmyz4,best rizz of 2024 [pt. 2],9060804,60
lgkNFFqXkTI,buddy got cooked,8384202,44
krrk9QVdmQk,i don’t think she liked that answer 💀,7094669,25
h2vXZNGIDJM,the man has no filter 😭,2363662,89
5V3Q_UdvmiI,TOP 5 Trevor Wallace Moments!,6346410,56
wMVSkhBa8ek,“she tryna hit” 😭,3946041,16
TwzIRBGW76w,being a teacher in 2025,9204775,72
AjneMXFq7xw,when the zyn guy joins the smokers,3103118,57
NZPBC6-hkCE,she left us SPEECHLESS,6663384,31
n52_dMioKpY,bro caught THE BIGGEST stray 😭,2315031,26
RDQDoNRog3I,Ranking Trevor Wallace mentality core #shorts,1605499,34
D9N9KoxXTpI,last one is CRAAZY 😭,6995448,60
QcKNrNR7urM,most unhinged clip ever lmao,1786693,59
L1lAXB77xjM,Trevor Wallace Hates Black People!!! 😂😂😂 | Kill Tony ft. Kam Patterson & Tony Hinchcliffe,3064045,20
-7h6mmlUnGU,Ranking Best Trevor Rizz Moments🔥,154822,53
gksqQWX5-qs,Justin Bieber seeing his friends vs his wife,3649341,50
160bNWEp07k,i’m a dad now ??,9594873,180
lEfbT1bbDEY,Ranking best Trevor Wallace and Sarah Safari moments.SUBSCRIBE,3693665,57
visgognu8Tw,Ranking Trevor Wallace mentality core,35864,51
WxmyTR97r28,it’s a mentality.,12418112,75
qlSLYTMbshk,@TrevorWallace Meat Reveal 🥩,627133,25
kNyW3uCdLfI,trevor crashes out on a kid 😭,393707,23
chBkNpS-UCY,Trevor core mentality around Sara Saffari,35326,22
oY1DycPhSNI,Cute kid tho 🫢 #podcast #socialexpriment #funnyvideos #gymgirl  #funny #armgame #music,49292121,12
Jj_uNq1EMw8,how to hit on a girl at the gym,26134904,60
QJCY9F-Jxrc,bro does NOT have a filter 😭,23658144,48
z4A-FLm6wTI,American vs Japanese ft. @TrevorWallace,16654516,126
20gM14BXiNg,My Top 5 Dating Show Moments of 2024!,16598463,175
s5Hgv-3vC3k,trevor and sara make gingerbread houses…,15596423,60
Mg8vG3C0cFA,bro joined the mile HIGH club,21376674,17
dL25EuS7bhY,Who does Trevor Wallace like to date?,22906673,16
DhwN1Jnu_eU,Colombian chick with 6 Brothers = 🚩,18519693,25
Q4PRRrx-lzU,Trevor Mentality 🧠⚡️,11075819,68
FGmeHLd8xDI,is this how Oreos are made???,18029871,15
jWM3iPHsPCk,how to fumble in 4K,8236926,21
Km4n_QcF2K0,Is he allowed to say that?💀 #tiktok #shorts #ranked,12116982,45
uWbV7YwtmF4,social anxiety fears him 💀💀💀,11505221,34
3WNI0EaK1Fw,Try not to laugh: BEST OF AI,13003348,68
Jw9yQvKDDU0,when u 💦 too quick at the Bonnie Blue meet up,10944763,59
-3d2A5XaJY0,The Morning Routine,10269763,69
PkI6NHxmyz4,best rizz of 2024 [pt. 2],9061828,60
lgkNFFqXkTI,buddy got cooked,8384725,44
krrk9QVdmQk,i don’t think she liked that answer 💀,7094759,25
