video_id,title,view_count,duration_seconds
O-KPJPrsP74,Trump jokes about getting Covid and needing Paxlovid after RFK Jr. sneezes,287590,21
aePRCHAml_o,Regina Hall Pats Down Jason Momoa & Josh Brolin at the 94th #Oscars #shorts,23454591,35
fWWCK07BoJ8,Misheard Lyrics: Covid-19 Version #TheManniiShow.com/series,5079905,16
ajFQPY7IAXk,RFK Jr. won't say Covid vaccines saved lives,2686851,30
v8Zgq83CJ4I,"This scene hits different, COVID-19 memories 😂🤌 #funny",1216926,14
aytRS129_vU,everything that’s happened since Covid… #recap #rap,2634143,61
pv4MdEQl6FY,Explaining Covid to my future kids. Relatable funny video #relatable #funny #covid19 #covidmemes,14305,7
U8dG_myVG0U,SHOCKING: COVID-19 is Back! (FUNNY VIDEO) | Bizz Buzz,1511,20
SqPBH_b9TDc,Shehbaz Gets Emotional | Bigg Boss 19 | Now Streaming | JioHotstar,1945405,60
iz60W0qEB_M,Dance with #TAKI🐺 #andTEAM #SUNOO #ENHYPEN,965741,14
d5jBQ76bCmk,PIGGY Is Coming to NETFLIX?!,639547,57
VYrDYMmIQLs,Corona virus introduction 🤓 | #corona #virus #introduction #covid #quotes #funny #youtubeshorts,74615,6
vZu6fBbTNX8,How much do I spend per month?,82401,50
wPN79j30YzI,We're COOKED 😰😭 #viral #rblx #robloxrant #funny #relatable,11744,22
kZE27E0FRug,Covid duty. #like #physiotharapist #covid19 #share #neurorehabilitation #funny #dance #fun #covid19,88,9
uKbNb3F4hd0,Covid be like #covid 19 #funny #memes,1601,6
K6MwFsWNwbY,COVID-19 is back #covid19 #short #shorts #funny #comedy #cartoon,1014,11
zjAoUV0cIho,Covid-19| #funny #covid19 #shorts,70,18
2wCHL7Shrq4,Is Covid Season 2 Coming ? 🦠😱 |  HMPV virus ( Beware ) | Kuldeep Singhaniaa #shorts,8959117,42
OjilsbCqt0E,Funny Covid 19,127,14
