video_id,title,view_count,duration_seconds
p36RNms2tkU,Story of Russia - Ukraine War 🇷🇺🔥🇺🇦 Funny Meme,87811,13
0zymlipCZY4,Funny incidents on the Russia Ukraine battlefield #military #usa #amazing #shorts #ukraine,120428,60
chKx9xB1yZE,Trump on his dealmaking approach with Putin #shorts,47763,65
_zE0hc9wAos,Ukraine F*** Russia | Max Amini | Stand Up Comedy,10527117,110
wyNbqZf7UJU,Putin makes faces as journalists ask about Ukraine,2073742,14
ImHVPKzSJew,Ukraine war: Ukrainian FPV Drone Targeted Buggy Carrying Russian Soldiers #russia #ukraine,6675312,12
-qR9DkGZYtY,RUSSIA UKRAINE PEACE?,35182,52
KTchqnNQf9M,Even Fox News isn't backing up Trump's Russia-Ukraine stance #dailyshow #Trump #Ukraine,5073728,57
zykxxqtBIuI,EU Aid for Ukraine: A Love Story. Putin: 🤣🤣😏😏 #shorts #funny #europe,849903,13
rraXxNVKUf8,"Trump, Putin greet one another at Alaska summit",580206,19
zGXJO_9Ymrs,Donald Trump Says Ukraine Can 'Still Win' War With Russia,17797,28
wTQFvomTcuo,Trump demands Putin sign ceasefire #PuppetRegime #UkraineWar #Trump #Putin,7135272,54
HTk6bKKukfY,Putin hears he will lose all of Ukraine,3857889,51
4QqXVXeKGj8,Soviet Reunion | Max Amini | Stand Up Comedy,4522806,52
4RtyPpfx1ZE,Trump questions relationship with Putin as Ukraine war RAGES #shorts #trump #usa #worldnews,92793,29
IweiLBuHLW8,Trump Says Putin Doesn't Like Idea Of US Giving Tomahawks Missiles To Ukraine,10603,42
kxJ_aSyIWGw,Trump's SEVEN calls to Putin #PUPPETREGIME #Trump #Putin,1053783,66
APnAgXB_oFw,Trump Calls Russia A ‘Paper Tiger’ Over Ukraine Offensive,21722,28
drrEKDubKrU,Ukrainian Soldier Treats Russian POW Humanely #warinukraine,40747905,11
-VPwF0iyIa4,Trump rejects Putin’s offer to help mediate Israel-Iran war; calls Russia-Ukraine war 'so stupid',23522,32
