video_id,title,view_count,duration_seconds
Dn-TmIOgDQY,"Election results weren't \""good for Republicans\"", US President Trump says. #BBCNews",116870,30
f-AdwUGeb54,Laura: This is how far left the Dems have moved #shorts #us #election,87612,42
VDZgJt6duDw,New Yorkers share who they voted for mayor on Election Day,768714,69
AFiticsV1bs,Trump says he'll speak to Zohran Mamdani if he wins NYC mayoral race,964940,36
mA3Cu8mkZ_E,Zohran Mamdani Wins NYC Mayoral Election In Historic Race 2 minutes,,120
4Uhtf6ijDgI,"Donald Trump Speaks After Zohran Mamdani Elected New York Mayor 1 minute, 7 seconds",,67
pUFn8fU0d0c,Zohran Mamdani's victory speech following New York mayor election win,1037058,95
Upkx44UpbwA,House Speaker Mike Johnson offers his reaction to the results of New York City’s mayoral race.,239940,35
7rAtBwxe7XQ,Mamdani accuses Trump of some election disturbances,45690,45
gcMsvyk30R0,Celebrity Reactions to the 2024 Election Results,144141,59
NOvHlc4h_w8,Joe: 'You can't tell people the economy's booming when they can't afford groceries',680829,180
S2JtWMW1NRo,Curtis Sliwa admits defeat in NYC mayoral race,668104,52
ez_ITmxOsTE,#podcast #maga #congress #funny #election #jre #trump #elections #uselection #comedy,20,61
rXAHqygwYSs,What NYC voters think across the boroughs,113646,103
YHKDMra5ims,Zohran Mamdani Campaigns Ahead of NYC Mayoral Primary,500344,26
eEY0bHB3f6A,Green Alien wins US presidential election #youtubeshorts #funny #trump #foryou #mrbeast #usa,827,15
S_YGitJxVS0,"Can you hear us now, Donnie? #duet #trump #turnthevolumeup #newyork #nyc #mayor #winner #election",508835,39
hKlQQWRlGZQ,Easy win for trump #2024elections #funny #trumpelection #donaldtrump #uselection,3825,16
7mGQm_dVf5E,Liberals Go CRAZY as Trump Wins ELECTION. #trump #blessreacts  #funny #uselection #election2024,815,38
DH8ll8bvJ3Q,AOC reacts to Zohran Mamdani winning New York mayor race 43 seconds,,43
