video_id,title,view_count,duration_seconds
7c23jdr-gCs,He's going to Fight for us 😂 Dave Chappelle,9203208,149
Ci7OoJfPiLY,ICE in 2025 be like… 🇺🇸🇲🇽😂 #shorts #funny #comedy #youtubeshorts #mexico #america #usa,12211731,34
jKgQAFOdMA8,Tariffs be like… 💰💸😂 #shorts #funny #comedy #america #american #usa #economy #youtubeshorts,13620993,60
bu1Aw8uH_-U,The Gulf of America 🇲🇽🇺🇸😂 #shorts #funny #comedy #america #usa #mexico #youtubeshorts,19264514,60
zay6al87ffo,When politicians try to relate… 😳😅😂 #shorts #youtubeshorts #usa #america #funny #comedy,22019278,61
_2ITqF-x08Q,Donald Trump won,5239,13
sgjcOFHKLG0,Trump Revenge|Trump vs Biden Funny Fight | 2020 vs 2024 Election Battle 😂🇺🇸 #aishorts  #viral #usa,1592,48
cbeWwbrOgYE,We voted for this! #trump #politics #maga #republican #funny #hilarious #cringe #usa,4674,82
G8fFhwP9tTo,When Your Vote Runs on Windows 7 💻🗳️ #funny #usa,909,22
B9W6mNtp-0Q,Trump's City : Campaign Insights & Young Voter Impact  #comedy #jrefunnymoments #funny #motivation,1037,76
iCyKQX4dEsM,black and yellow among us,6024228,6
88uYr5dtFmk,Borat Learns Women Can Vote #funny #borat,2208,46
ez9IPd_9fLg,the electoral college makes no sense #standupcomedy #standup #funny #comedy #politics #usa #america,125888,56
j8TBRiV1gqw,Joe Rogan Reacts To Obama’s Hilarious Moment With A Voter In Chicago,29490,43
lC-1s4UoHqE,"President Trump introduces Barron Trump: 'He knew the youth vote' 1 minute, 7 seconds",,67
LaVVGCLgAmo,Canadian provinces discuss the recent election results·#Canada #Canadian #jokes #funny,2087708,65
-kTcXsExfeU,"U.S. Senate votes on ending the government shutdown 3 minutes, 23 seconds",,203
fLO0zrodKIo,Ranking The Best “Why Is English So Hard” Moments! #ranking #shorts,12982564,59
qHCjUk3XrVE,Voter confronts Jon Ossoff about impeaching Trump,4554343,59
mA3Cu8mkZ_E,Zohran Mamdani Wins NYC Mayoral Election In Historic Race 2 minutes,,120
