video_id,title,view_count,duration_seconds
VY2rT_0vQB0,Best funny video🤣 #shorts,16184166,32
YfsYnQg1bQ8,You Have To Roll A 30 | Critical Role Campaign 3 Finale,7936422,59
6Sw1_943VCg,"Santa's Not Real | Critical Role Campaign 3, Episode 64",2748967,25
CcutkpvGThE,Travis Puts The Moves On Laura! #criticalrole #laurabailey #mightynein,1057912,46
5MC1FC0Y7jc,Tiny Fairy Dice | Campaign 4,1171728,17
wPaGdy2E00E,Brennan Gets Ocean's 11'd,4169738,116
WZlVw9j4gpU,"1000 Years Dice Jail | Critical Role Campaign 3, Episode 120",998655,35
CX_FwumHHWQ,Chetney’s Inner Monologue Gets Hijacked,759177,33
ns931Pz9JfU,#ranking #funny #nyc #nycmayorrace,7211439,72
rktk3JP5HaU,Some Trump Ads Just Write Themselves #Trump #ads #funny #campaign,62,14
XjKYoSPmzWA,D&D Animated: He's CRAZY! 🤣 #dnd #ttrpg #dnd5e,5238795,44
E2ErW3yzOHA,We All Did This 💀 | Call of Duty Modern Warfare Campaign,4267227,9
WX2yvw2Yy74,Marisha Makes Sam Cry! #criticalrole #mightynein,544667,52
szxajRxHaKs,Laura Bailey…never change. Critical Role! #dnd #criticalrole #criticalrolehighlights #dnd5e #funny,625009,25
y4MAtleTvJ0,When you find out where your DM’s world is from. | DnD Shorts,9215160,49
ltUpNuefxwg,D&D Animated: The Campaign Is CANCELED!!! 🤣🍩 #dnd #ttrpg #dnd5e,5582131,50
_iRiMDzqVpc,It Was Worse | Campaign 4,1984633,39
xT2N2j0w14o,Funniest Billboard Ad Ever? 😂 Panasonic Nose Hair Trimmer’s Viral Campaign #marketing#shorts #funny,2935,7
7iXl5jNaE3k,Spit Take | Campaign 4,590529,42
BASFqf-nA34,Everyone in Campaign 4 is 5'11 #criticalrole #dnd,664034,48
