video_id,title,view_count,duration_seconds
iaQ3JjnvLnQ,Energy Secretary Jennifer Granholm on how people can improve their carbon footprints,65980,33
pENVETKp278,The Real Weight of Carbon Inequality  #makerichpolluterspay,870,120
xGYWz8ONOxQ,Miriam  “My Carbon Footprint”,185,15
fEJ3F9CVMQg,Carbon Trivia at SF Climate Week 2025!,62,157
aOH1KqD63QE,Regulating Greenhouse Emissions,,26
OPOf7HSkpLU,47% of companies say they will be Net Zero,46,57
T5M0crCiSt0,Reduce Carbon Footprint with 3D Printing,518,17
usH9PANNTm0,The Reality of My Carbon Footprint   #evcommunity #carbonfootprint  #evcharging  #climatechange,443,25
Geb9RVtWOF0,God forbid a girl cares about her carbon footprint #fyp #funny,18825,11
-Uzh-FINcnw,When shortcuts go green! #carbonfootprint #funny #greenliving,967,36
MkJSlpX44_k,Reducing Carbon Emissions with Energy-Efficient Lighting Solutions,507,6
6uKY1EvMAqo,What IS your carbon footprint & also who cares?? #shorts #comedy #standupcomedy #standup #climate,2666,35
DmTEfdYVOJM,Local Foods: Reducing Carbon Footprint #ecofriendlyadventures,247,22
z85dynGamjA,The carbon footprint lie 🌎💔,150,13
p0asrFVFAzE,Government Makes Them SHARE a Carbon Budget 😭 #EcoDrama,1007,16
_sF94zqBnSY,Trump makes fun of Obama for 'carbon footprint' rhetoric,85,19
04GfabrIYsM,Climate Change Myth Buster #19: There is nothing we can do | My Zero Carbon Climate Action,8,106
0tqG34pGmPs,Offsetting carbon footprint with EV cars ? #techpodcast #podcast #funny,122,63
hPwrTY028hY,Banana's Carbon Journey,214,42
DyUkYyXVtaI,Trump MOCKS Europe’s Climate Sacrifices at UN – 'You Killed Your Jobs for NOTHING!' #eudebates,898,77
