video_id,title,view_count,duration_seconds
RHIwrsKDPWY,When Censorship Gets Hilarious #censored #funny,792,62
lBM8WIr2XKk,"Hawley: “Feds Censor Americans, Label Parents Threats, Spy on Catholics — It’s Unbelievable”",3575,35
5EsQ3znrsUQ,Zappa and Johnny Carson discuss censorship on the Johnny Carson Show in 1986.,26570,32
90J6UNgmWS4,Theo Von Calls Out Censorship in Hilarious Fashion!,27604,28
uPwn1XsrSuQ,Iconic Old Comedies vs  Today's  Censorship Killed the Funny,222,36
u0tTRgdJXVI,Why did they choose the color white😭😭,4265342,16
CgBEpV2fqJc,Censorship #geometrydash #censor #explicit #funny #jre #joerogan #jokes #parody #edit #funny #fun #l,902,10
UOYuaF2rCzI,you know what I find funny.. censorship! U.S. of IS-not-rael #censored #rela #shortsfyp,15,15
Q3XCOu3I1rM,A Humorous Take on Censoring Misinformation#comedy #satire #misinformation #censorship,8,36
1UwQQS337ww,The censorship is wild💀,7844374,7
GlP1ygoOttg,F***ing Star Trek - The Vulcan Edition #startrek #funny #unnecessarycensorship,16185,45
fTilOo2WgRE,Ricky Gervais is FURIOUS with UK Government Censorship! #comedy #funny #standup,107696,85
yWfACeALJuw,Dumbest Censorship in Cartoons! (Part 1) #censorship #cartoons #RegularShow #language #england,9178,28
48tLst00FWM,Funniest Movie Lines Censored On TV #movie #movies #TV #funny,1420,108
Ur0IJrS695g,unnecessary censorship #funny #unnecessarycensorship,15202,34
FzXDbbTOSmQ,Funny Censorship #shorts  #funny,1757,26
b502RO6XRG0,Is internet censorship run,979,50
kN_3wCca1wg,Jimmy Kimmel’s “Unnecessary Censorship” is Hilarious,10290,30
IqXeSlbMd-o,CENSORSHIP HAS GOTTEN BAD!!! #shorts #funny #comedy #memes #bad #censor #improv #story #short #fyp,823,31
7mrbyLb2wXI,Jimmy Kimmel Suspended? Trump Calls It Censorship – Hilarious Reaction!,24294,55
