video_id,title,view_count,duration_seconds
KPsbhFDYYic,White Civil Rights Activists in the 1960s #comedy #civilrights #funny #1960s #fyp #history #skit,549,59
Ly3pnD5UVE8,Economic Development: The Core of Civil Rights? #shorts,1210,34
HBkZkF6-uvE,Charlie Kirk tells a kid the Civil Rights Act was a mistake😳 #CharlieKirk #Shorts #Viral#News#Crazy,3585,15
niFAaVSui44,Economic Development: The Core of Civil Rights? #shorts,2110,34
QW78AyqOGks,Charlie Kirk on the civil rights act #charliekirk #leftwing #comedy #funny #jokes #leftist #shorts,1724,56
DDjzfVaTQD0,"Digital Censorship, Freedom, and Civil Rights #shorts",481,73
PaDG9ZxLujU,I got civil rights. #shortsvideo #funny #comedy #listen,,6
kkMnCgzfuaA,1960's Civil Rights Activists... ✊🏿 #comedy #funny #sketchcomedy #1960s #civilrights #funny,19240,61
Nham_JRzK-Y,W spelling fr,8910888,13
hx6aqD05UzA,Colin Jost Discussing Civil Rights with a Rabbi,15615,30
SQtVO8mbm8A,Dumb Cops FACE Lawsuit over Unlawful DETAINMENT,352359,57
TCt-BcgX80o,JFK on Civil Rights in 1963 #jfk,5482,37
wu4EmVdVsPo,What happens when the Civil Rights Commission👇 Questions arrive? The FUN Stops 👆🧐,370,16
XlTOhOm5Sxs,White Civil Rights Activists in the 1960s #funny #comedy #civilrights #1960s #shorts,28373,66
L7xh24az614,A New Era of Civil Rights Unfolds!,53311,20
6F7Asy3Vues,1960's Civil Rights Activists... ✊🏿 #comedy #funny #sketchcomedy #1960s,16752,59
bCYq94OKY98,Hiding under a table before civil rights #comedy #civilrights #bicflames #history #lol #storm #short,1109,31
L2mT-sp8Oyw,Civil Rights Act: Did White People Step Up for Black Folk? #shorts,1521,79
lLMM2R7pFSo,“They violated my civil rights” 😂 #shorts #funny #plzsug,3349,53
y86d48bTKVM,Final Thoughts on Civil Rights 📢,2882,43
