video_id,title,view_count,duration_seconds
s0yWk4cJT_I,Why its impossible to switch to clean energy | Landman 2024 #shorts,46877,61
dnRW81YUkJk,Aussie miner's foul-mouthed spray over renewable energy goes viral 41 seconds,,41
rAd0okZKDtw,"China Unlimited Energy For 60,000 Years",4504327,55
C-iTuMa676I,Can Elon Musk Power the Whole U.S. with Clean Energy?,8734,36
wNd_Q0Mz6vI,How Flowing Water Creates Clean Energy! 🌊 | Power of Hydropower #physics #science #knowledge #shorts,11173019,8
DUohsv7Sfz0,DIY Free Energy Generator Using Potato Power – Science Experiment! #shorts #mrmakerproject,408412,10
oBZrUS6DmYw,The Hidden Costs of Clean Energy: Are Wind Farms a Good Idea?,3594,14
SNuaXI9P3fw,Cat Power A Clean Energy with Cuteness #catshorts,3650,21
FMRI_e5EzbI,The EV Clean Energy Myth,1170,43
0Avy5nM_hRI,When clean energy takes off! #cleanenergy #engineering #funny,,41
k3q-NJ4iej0,Clean Energy Starts Here  #shorts,1427,11
H2eGmafFuRs,Can clean energy power your breakfast? #cleanenergy #funny #science,5,45
Pj4IABNTogU,Pure Clean Energy Without the Crash #cleanenergydrink #naturalcaffeine,1308,34
MC4p-KSYXTA,How to Navigate the Clean Energy Debate,149,19
0jLPDk54DFM,Waiting but completed soon  #cleanenergy #tatapowersolar #funny #solartips,4324,11
poEXkw94jOc,That feeling when you wrap up another clean energy win. ⚡🙌,1569,15
VpwYTY_dWGc,"\""Mini Wind Turbine with Solar Power – Amazing DIY Invention!\""#mini #solar #shorts #shortvideo",155980,13
U9Cz9G-Zy2Q,What Is Wind? How Windmills Work for Clean Energy! ⚡🌱,1334,48
aCW6Qp0iLMA,Clean Energy vs. Green New Deal: American Jobs at Risk #shorts,2522,35
peslin4e2KA,When clean energy gets moody! #cleanenergy #funny #story,,37
