video_id,title,view_count,duration_seconds
5d6SkGyTsWA,Ronny Chieng explains climate change for all the visual learners #DailyShow #RonnyChieng,935897,33
zPMwrGAhxVg,Climate change... #jimmycarr #britishcomedy #standupcomedy #standup,176921,60
xVj4rmnZOm4,James Gregory on environmentalists… #jamesgregory #standupcomedy #climatechange,639636,166
7RsZiKhjQvc,Weird question #earth #earthday #climatechange #shorts,265,13
1qXwWRroblQ,Climate Change Debate... Ends in Geothermal Agreement?! 😂  #geothermal #waterfurnace #climatechange,908,16
v2F9q3jxzl4,James Gregory on climate change… #standupcomedy #jamesgregory,84906,60
2hydsFo5BEo,Trump says climate change is 'greatest con job',9721,59
_-zGgqoBjOU,"Trump tears into climate change, immigration and talks conflict at UN General Assembly #Shorts",34612,142
t3E9BdlD_Aw,If Cow Farts Cause Climate Change… Vegans Might Need to Reevaluate #Comedy#Vegan#LOL#Funny#Trending,2534,49
NQcYFKpyEzo,Trump Tells UN Climate Change Is the ‘Greatest Con Job Ever’,4997,22
MDV9030bLEo,Trump on climate change: 'Greatest con job',13136,85
GDjTwC8xBV0,How do you talk to your kids about climate change #climatechange,1170,47
yc0Gz8xWwAA,Jeremy Clarkson On Climate Change!?,1689110,14
ZI4tyB4oFQ0,"Discover who, or what, is REALLY behind climate change..  #funny #climate #climatescience #fish",52,28
Ssbu6-uShL4,Grab a shovel and some sun glasses… #comedy #funny #standup #climatechange #jokes #tech,9460,157
dUocAQb3yus,Bill Nye on the fight against climate change,25569,35
bNsD6loy6wc,Shadow has THOUGHTS on climate change 😂 🌎,577697,47
MqapLqha9_M,Climate Change Freestyle Rap #freestylerap #freestyle #funny #climatechange,3902,39
2FwHn8m3eVc,How does climate change make young people feel?,7651,69
GqKmdhazkiY,The climate change 'hoax' and countries 'going to hell': Trump addresses the UN | ITV News,15530,41
