video_id,title,view_count,duration_seconds
zPMwrGAhxVg,Climate change... #jimmycarr #britishcomedy #standupcomedy #standup,176921,60
_-zGgqoBjOU,"Trump tears into climate change, immigration and talks conflict at UN General Assembly #Shorts",34612,142
VdA1C97CFu0,Global Effects and Climate Refugees,4,81
bFQBuJHPjK0,"Melania Trump talks return to DC, decoration plans for the White House",977658,92
89JMeglLfpQ,International Children's Rights Day - Issam,27,42
jRqqpmjH9Ds,FPS - supplementary,18,170
PVtEMHC_ehA,U.S. may face a ‘climate refugee crisis’ 🌊🧳 #america   #nyc #shorts,1554,6
d2mlZWPD7-8,WHY LIVING IN NORWAY 🇳🇴 IS BAD?,542554,28
vRWa4h5rwJs,Climate Refugees  #climaterefugees #podcast #fallenempires #climatechange #refugees,12,11
okAjVcfm1eE,Climate Refugee Nightmare? Treating the Dutch Like Shit! #shorts,48,38
YmK-QagMuFM,Climate Change? 🔥 w/ Neil deGrasse Tyson,223247,32
J0qfwBkSV4I,Every MUN Student in Class⭐️ #modelunitednations #shortstrending #youtubeshorts,165509,46
HpXKcOI7BYE,Let’s DIY Some Fluffy Earmuffs with Fun Socks! 🧦❄️ So Cute! 😍 #kidsvideo #funforkids #diy #crafts,64311880,32
JaLqUTPlWLM,"Climate, War, and Refugees: Understanding the Crisis & Taking Action #shorts",11,22
rEFnmbHoQIY,"지구온난화, 펭귄을 구해줘! Globalwarming. Please save the penguin.",152,6
uRnCxJz6HrM,#watch Man Targets Indian Immigrants With Racist Remarks In Canada; Video Goes Viral,364805,38
imQ49aLMEu0,ICE Chief Responds to Asylum Crisis,25,50
kwKdxAe0rPk,New Burning Concept of Climate Refugees #css #pms #competativeexam,145,67
mz6cP8SKyno,The largest climate refugee rehabproject cox'sbajar #trending,1167,61
L7mN6FSRgig,Fox Tried to Cancel Michael Knowles For Stating the Truth,617613,43
