video_id,title,view_count,duration_seconds
vH6YbeCzoVk,Orangutan’s Brutal Truth About Deforestation | Funny Jungle Talk - #shorts,1060,10
wiUQUjLtCyY,When nature has its own say! #treeplanting #deforestation #funny,554,45
Dndw_coqmIc,Boar’s Deforestation Lesson 🪓🐗 | Forests Are Disappearing Fast #didyouknow #funny #ecologicalbalance,26,9
nbCF3u8tnQY,When trees crack jokes! #deforestation #humor #ecology,2,41
YqrZBgutGmA,When priorities go wrong! #EasterIsland #deforestation #funny,286,43
m1WwRAgkJUw,Deforestation...🤣🤣🤣 #highlights #viralvideo #deforestation #funny,13,14
sckYbie-_bM,bro trying to do deforestation #99nightintheforest #roblox #memes #funny #shorts,1480,16
YqCKBFySVvw,Welcome to Our New Tourist Attraction: Deforestation 😬🌲 #shorts  #funny,1799,8
Xgb4ZhXhX1I,Nature's got jokes! #trees #deforestation #funny,271,47
tja2ZOHENWA,Bigfoot Is Now Committing  Deforestation Insane 😳😬 #shorts #bigfoot #funny #youtubeshorts #ai,4569,8
i33fWB-8cqI,Can trees save the world? #treeplanting #deforestation #funny,,40
y3zMjyY5dHw,When trees spill the tea! #deforestation #funny #story,145,36
-sYNe-EZRms,Weird Deforestation Patterns?! Looks Like a Shaved Pet!,718,28
8EtRCh_5xLE,me writing essay on deforestation 🤣🤣 #shorts #memes #funny,3338,7
3Vkiop_sywE,When trees discuss deforestation! #rainforest #deforestation #humor,109,41
Hyx_Kywymdw,Lucky Find and Deforestation memes  #subscribe #luck #money #shorts #memes #funny #trees #facts,39486,9
Y8vIPglmTRU,Please Stop Deforestation 😟😭#aivideo #shorts#trendingshorts #viral,922,6
aiMeUffitgQ,Hyderabad forest threat || #hyderabadforest #forest #deforestation,1522,17
rTOgkSQz6sE,Follow if u want to help me with it 🌲 #reforestation #treeplantation #noplanetb #deforestation,2395,13
ug2oWqvopb8,When weather needs a GPS! #deforestation #funny #story,66,47
