video_id,title,view_count,duration_seconds
NKMj9OmjPpY,Best of Dealing with Climate Activists 💀,43716691,23
THIs40KQc8w,Climate Activist Left SPEECHLESS By Facts,6263027,56
S11SX5iq8vQ,Jim Carrey as an Environmentalist #jimcarrey #shorts #viral #funny #comedy,3511,180
hAGx-Zc03Hw,The Role of Memes in Environmental Activism: Humor for a Cause,6,8
2t2BtINZrfw,Gandalf vs Eco Activists 🚧,116,16
bsUcMXZ_DuY,Jim Carrey's Hilarious Environmental Activist Sketch | In Living Color,450574,179
qmTUAHpXAyQ,Clueless Activist Gets OWNED On Live TV,1367648,59
tmKNytMvj7w,Solitude is Illegal? The Shocking Truth About Green Policies #shorts,7,35
w-_t0_qwEdE,Discover the Truth Behind Environmental Activism! 🌍,15,18
QhmjbMh13lc,🌍 Eco Protesters Disrupt Major Golf Tournament | Climate Activists Take a Stand,22,57
Wbx3yG-gcIw,😂 flying car VS activist eco,946,8
a7SexREtdME,😘😘  #comedy #environment #activism,1780,6
EvjVFoe_05s,Hell nah!,2163,6
IwBA7JXsr6Q,"Leonardo DiCaprio, long known for his outspoken environmental activism, was photographed boarding",16295,6
0IU9_l-bsMw,"green comedy, environmental humor, sustainable living jokes, comedy sketch, climate change satire,",1904,49
aYLdhJmdOGU,Said hello to eco-activists 🤣 #viral_ #funny #shorts_,,15
1LHm4VVwWqw,📞🌍 What if the Earth could call you?,624,87
w0Oqwg2DgOQ,"Leonardo long known for his outspoken environmental activism, was photographed boarding Jeff's $500",1271,6
5KLNKb7Ohv8,ECO Club: The Green Revolution of Bulandshahr,43,21
kP-muQkIYW8,AOC: Climate Change is LIFE or DEATH!,8,17
