video_id,title,view_count,duration_seconds
fSUwd3Me-SE,River Rights vs. Corporate Pollution: A Serious Issue,1307,26
tfAViFplrzA,Can environmentalists eat cheeseburgers?,816,46
9txmrOYIxlk,Keeping Our Hands on the Plow - HOLDING ON!  #whatsrhemessage #environmentaljustice  #ammdpgp,776,28
7WTHDgG1T5c,Environmental Justice: Holding Violators Accountable for Nature’s Destruction,1288,18
pP0Fbf2F53w,Rev. Yearwood: Environmental justice is a bi-partisan issue,1447,55
QLZ2AJdnlwY,Ecological disaster. Part 1.,20,26
D970Skc-mkY,Environmental Justice 🌍 In Action,1670,7
g3CIxNu-Wsw,Environmental Justice Summit,842,15
J8VhsN10amY,Pope Blesses Block of Ice at Climate Justice Conference #AffirmAgainstThePapacy,18382,13
3efiqcQV0lU,Fighting Pollution  Mercury Insights and Environmental Justice #joeroganexpereince #joerogan,39,24
X-0dHGqPrX8,Executive Order 14148 SHORT 3 - Environmental Justice Hits Reset,115,105
q0Nwlk3xHNM,Memphis Residents Protest xAI’s Gas Turbines Over Air Pollution Crisis | Community Outrage,1386,6
WrzUyu3wj_4,Judging Others: Why We Should Show More Compassion #shorts,588,29
u2H8S-HISFs,Maryland Removes Trash Incineration from Renewable Energy — A Win for Environmental Justice ✊💚,1197,21
ziQaW2MVQg0,🌊 Testing Baltimore’s harbor water with Chesapeake Water Watch #baltimore #shorts,160,16
dy8O91e8i-A,The Destruction of OUR Ecosystems.  Legal Doesn’t Mean Right,355,123
ToHCYYTZUy0,America is Running Out of Landfills,1146,13
iV6LVaZpmIw,The TRUTH About Climate Change,1976,18
QGv6hJv5zAs,Water/Sediment Sampling in Riegelwood,2,71
lEBUOCWmb_Y,If Earth Treated Us the Way We Treat It | TGED Foundation #climatechange,3,64
