video_id,title,view_count,duration_seconds
wu0dDm67N14,Funniest Ronald Reagan Jokes | Freedom of Speech #ronaldreagan #jokes #funny,306224,33
0qOZ6XTklPc,"Like the Founders intended, Trump defines free speech according to a bonkers math ratio #dailyshow",422711,85
WLvlYSf0ibw,"Who knew art would be targeted under Trump's \""free speech\"" revamp?",982996,62
pFqc491jewM,"Free speech is back, baby! But only if it agrees with Trump",217509,60
LwPbPPNOrK8,Trump dismisses free speech concerns after Kimmel's suspension,531445,39
68hTieVyP30,‘Are you kidding me?’: Joe calls out MAGA for ‘trying to crush free speech’,301369,174
aTuQOFM29Iw,Reporter asks Trump and UK Prime Minister Starmer about 'free speech',39878,12
M5GKPUtvvFo,"Trump on people criticizing free speech crackdown: \""Maybe they're drugged out\""",15880,46
4VtpGVjCbIw,Trump's unwavering free speech principles don't apply to unflattering portraits of himself,1301969,62
NqibhBQ-nCw,"Jon Stewart breaks down the simple, Dear Leader-authorized rules of free speech for Jimmy Kimmel",1862847,177
EsA8mcSo_jU,Bring back free speech in schools,5058,38
dtGDv_LXF74,Jimmy Kimmel defends free speech in late-night return,40397,90
DNkkaAu2MMo,Late-night hosts react to Jimmy Kimmel’s suspension,1142434,88
uI1mM57ScNU,Why free speech has to be protected | Click the linked video to learn more! #tuttletwins,10270,43
6hs9HC1qqJY,Joe Rogan Reacts to Charlie Kirk Explosive Debate On Free Speech,143998,49
KyWvUUPPgZM,Trump: “Not so sure” about free speech,193680,179
fvwC1551lGc,Vance warns U.K. against censoring free speech,22630,38
9okmiyH2HWQ,‘You look cute’: Obama jokes with a supporter,655411,32
WxW2Y1X0x98,"After Kirk killing, Trump officials shift on free speech",45654,77
9eFPRYWW7lo,Trump says there's a free speech problem in the UK... #trump #jimmykimmel #freespeech,621479,34
