video_id,title,view_count,duration_seconds
xVj4rmnZOm4,James Gregory on environmentalists… #jamesgregory #standupcomedy #climatechange,639636,166
5d6SkGyTsWA,Ronny Chieng explains climate change for all the visual learners #DailyShow #RonnyChieng,935897,33
_-zGgqoBjOU,"Trump tears into climate change, immigration and talks conflict at UN General Assembly #Shorts",34612,142
t3E9BdlD_Aw,If Cow Farts Cause Climate Change… Vegans Might Need to Reevaluate #Comedy#Vegan#LOL#Funny#Trending,2534,49
GSGMchEKFyU,future ppl be cooked 💀😭🔥 #viral #funny #relatablememes #globalwarming #instantbrainrot,21465,6
yc0Gz8xWwAA,Jeremy Clarkson On Climate Change!?,1689110,14
zPMwrGAhxVg,Climate change... #jimmycarr #britishcomedy #standupcomedy #standup,176921,60
y9Dz0ABRO0I,Cow Farts Don't Cause Global Warming - A Funny Climate Change Song #funny #tshirt,14,37
,Jono Zalay - Global Warming,2581,47
-sN4cOWgmqc,Wind turbines for global warming 😭 they don’t cool the earth bro,1852,34
Gg9hJjl0gmk,Do you believe in global warming? #myofunny #funny,1993,11
LjQ5zHDPICI,Global Warming is WORKING! #automobile #motorcycle #bike #biker #bikelife #funny #motovlog,479,12
jr_AbGXr3o0,Yeti Talks Global Warming in Glacier Interview | Funny Climate Chat,1652,9
adWMjnuD2NU,"Global warming is not political, it’s science 🥵 #iceland #globalwarming #climatechange",112341,9
9fDGevkEJw0,Cow Farts Don't Cause Global Warming - A Funny Climate Change Song 37 seconds,,37
dcZp24Vbc4w,Global Warming? Just Blame Your Daily Scrolling 😅 | Orangutan Vlog   #shorts,1387,12
HbaQCfVdg_w,When science gets too hot! #greenhouse #globalwarming #funny,93,43
Imlmy4TzXxA,Global warming,950,9
MdpP_lymCyM,"\""The Crazy Plan to Fix Global Warming\""",2341687,60
UC63hL1EhSg,Where's That Global Warming,2283,8
