video_id,title,view_count,duration_seconds
SkavbYn47cQ,Government Corruption: Time for Change,1835,36
EMKK9SYbfgk,"Government corruption, spending and common sense!",9034,53
PwwA0bcR4cA,Nepal |Tensions Escalate In Kathmandu As Protesters Rally Against Alleged Government Corruption N18S,1761,53
ud36Pz46tUY,Book a case and seize the shop 🔥 #chithavijayprathapreddy #rationdealer #rationcard #rationshop,816056,46
RhtYmgj41gw,'Turn The Volume Up': Zohran Mamdani Calls Out Trump In Victory Speech,169625,56
J9fOWKydSjY,AG Moylan Minute ⏰ AG Moylan talks about the Government Corruption Division,1121,53
vYNTALisKSw,"Trump calls NYC mayoral front-runner Zohran Mamdani a \""communist\"" 31 seconds",,31
6vR062DjfEA,Nepal PM KP Oli resigns as anti-corruption protests escalate | BBC News India,1920111,43
-A5XH6dQ3Bo,Anatomy of a Corrupt Politician,6729,37
kOnr-yoHbpk,Government Bailouts: Is the System Corrupt? #shorts,923,41
19sdRC9_Au8,Corrupt government officials need to be stopped,328,26
Zf0Ydyd71Ek,Cebu governor: Typhoon Tino brought worst flash flood in province's history | ANC,75479,115
ImPZAoWWBdY,BRO… Delhi Is Literally ‘Washing’ The AIR - So Much Pollution! #shorts,3808755,74
oLVqKjbP9U4,Stop this corruption,33,34
oV5UIdTNr_I,End Corruption: Why We NEED Government Term Limits NOW! #shorts,1177,23
RQQlpC50Pzc,DPWH overpricing #dpwh #corruption  #politics #jokes #funny #hugot,1806,17
x0PJrLdFmVk,Politician Corruption: What Percentage is Corrupt? 70%? 90%?! #shorts,525,45
k80ZyDt3Pto,corruption and government leadership #corruption,934,9
iQ3XAxwiUFU,"FLOOD CONTROL SONG (Self Control Parody) | Trending Now! 3 minutes, 50 seconds",,230
6-zScqTlFSQ,Clip 6 -  Bill O'Reilly - Sandra J. Adams on Government Corruption,20,61
