video_id,title,view_count,duration_seconds
uTw1JIhf7no,Health misinformation red flags to watch out for,11003,55
ijN3gtYhm-8,Medical misinformation on the Internet is getting dangerous!😰￼,4412,60
ds650ZVFgyc,Doctors Getting Fake Vaccines?!?,6867422,23
C8AV-gpLgmM,Health misinformation,39,2
6ekh9VW0ISQ,EP 93,1143,35
QLX5P9N-rpM,There's a lot of phony medical experts and pseudo scientists trying to take your money or misdirect,235,24
yB1yJvggFZk,"RFK Jr.'s Controversial Views: Health, Disinformation & Its Impact",48,33
dUxstFX82L0,The top way for doctors to help solve health misinformation,1110,31
HflEJvPgqPA,Fitness Expert Confronts Someone Spreading Dangerous Health Misinformation,702,50
u4qKUkI7otA,Uncovering the Truth Behind Healthcare and Taxes!,963,18
migus_ftu0A,AI Doctors  How to Spot the Latest Social Media Scam Spreading Misinformation #ainews,7,54
Ch9YnO7Xw_w,"Mohammed & Donald teaming up to fight health, medical, and cardiology misinformation online! #Donald",2394,20
IJeZfpUKl2A,Deleted Comments & Bad Grammar | Funny Medicine Podcast,475,81
a6QZsQ7kdl0,Baba Aniruddhacharya Spreading Dangerous Health Misinformation | Doctors vs Fake Advice #misleading,79,58
uMGYRgOnIrg,seatbelts #conspiracy #disinformation #misinformation #medicine #pharma #bigpharma #comedy #funny,935,81
ruLj7HDiYvE,Raw milk and antivax conspiracies go viral faster than facts-for a reason.,344,64
rpnEg-JnAYA,Your opinion isn’t data 😅 Any other professionals feel this in their soul? Just me? #misinformation,135,11
ZGNkxqzuWHY,Reply to a Query,309,11
X2jA_NrQw3U,My goal is to solve health misinformation,892,24
6hnxkYqH6dc,A wild vaccine belief #shorts,2313,15
