video_id,title,view_count,duration_seconds
1fLr8QlHZXE,Teachers During a Lock Doing Pt.2,22868,59
90zyUrJ9vMw,Teacher.'s during lockdown meme,22784,81
UqmBt0KR6Do,Ray & Rakai Scare Tota During Lockdown!😂💀,683360,13
xFrfEUXHbqg,Lollipop Lockdown 😂🤣 #funny #shorts,12609713,26
L06dg1E277o,My School Lockdown,15159558,63
klDMyLqeMSc,I survived a REAL School Lockdown.. 👩‍🏫😱 #relatablestories #comedy #funnymemes,1990975,20
6UbKHmRlXSM,Our School Went On Lockdown… 😬,11424882,58
v7u21J0Os9o,Kid Escapes School During Class 😳,4643476,65
o3hOKL0ts8Y,I Caused A School Lockdown.. 💀😭 #relatablestories #comedy #funnymemes,576116,24
8ag9kQTa9Ys,I Survived a School Lockdown AGAIN.. 📚😭 #relatablestories #comedy #funnymemes,1443251,14
2w3lqFCZWs8,Lockdown Drills 😭🙏 #roblox #robloxrant #rblx #relatable #rorants,1053378,52
urQPizM8ye0,Scary School Lockdown Story😳 #story #scary #scarystories,1064747,58
55uA4c-IPYM,Top 3 Funniest Steam Game Moments in Lockdown Protocol Ultimate Funny Moments 😆🎮,34132,59
qUFEkxNP6fc,The quiet kid on lockdown drill day#skits#quietkid#comedy,4574586,58
9ecpEEr2S4Q,Lockdown: Part 1 (BASED ON A TRUE STORY 😳) #bunker #imabunker #mrsbunker #teacher #teacherlife,3533510,60
JlA-T-A0CKU,School lockdowns 🤦🏽‍♂️😭 #funny #shorts #relatable #comedyvideos,35539,24
LoZcji918Ng,Lockdown drills be like:😭 #roblox #rants #relatable #gaming #robloxrant #school  #lockdown #drill,18276,65
QyBKTVe1BtU,ARIES EMBARASSES HER,3346134,34
blZDMhzxVqw,Lockdown Arsenal Funny Moments😂,13445,31
RfZlK7N2uBc,Should All School Practice This Drill? #thegunguy #viral #schoolDrills #like,39424498,16
