video_id,title,view_count,duration_seconds
fa7YI7BE_Cw,Mask Mandate Clash: Heated Argument in Public Place #shorts,2357,48
66DBNHxtJAo,A hilarious response to mask mandates#maskmandate #rebellion #funny #covid,3,12
SmsBbIfUeDk,Mask Mandate Made It Easy With,4,10
33WTqQvQC9o,Mask Mandates,2548,66
8xdqWI84RO8,They Faked the Flu… Just to Make Me Wear a Mask Again,769,104
KOJ5ntJDQ8o,HE SAID THIS!? Mask Mandates The Speaker's Rant Against Compliance #youtubeshort #funny #andrewtate,1291,28
D2E3XfkVd18,Why Soldiers Have Pins On Their Collars,50764120,20
5o1k0qQkcOQ,Celebrating the End of Mask Mandates: A Dance of Joy!#maskmandate #freedomdance,429,15
uFDMXbpj41I,Funny Ninja Mask Hack 😷 | Diwali Saaf Safai Look | DIY T-Shirt Mask 😂 #Shorts #ytshorts,2712406,13
1nFG8sxWam0,Mask Mandate | #rev3rbjunkie on #Twitch,952,16
JcB_bepJ7Lw,DO NOT LET WOMEN DISTRACT YOU 💀🖤 | Ready or Not #readyornot,10309547,11
la7ETjBret8,Comedic Take on Mask Mandate Removal: A Social Commentary#MaskMandate #SocialCommentary,2233,26
lcNu87fTRMY,MASK MANDATE😂 #shorts #weekendupdate,2239,59
QE2UtkmIGgo,HYPER REALISTIC Face Mask!,136128,29
ROJUtP2UUjc,Ben Affleck daughter ask U.N. to bring back mask mandate #politics #news #currentevents #liberal #UN,572,66
OdXCBw3rBg0,Ranking Funniest Fart Moments,12359481,51
N32LfimYd1U,Snapping Turtle Bite!!!😱#shorts #turtle,290601260,8
R0LYmqYelsI,Mask Mandates and Democratic Governors: A Humorous Take#MaskMandate #DemocraticGovernor,674,15
VKqoyx0aafc,xQc Tries Skate 4 and Instantly Breaks the Game,1001646,21
tnqbs49yOfg,Volatiles are COOKED 😭🧟💀,4715190,21
