video_id,title,view_count,duration_seconds
oY7tjh8RGXY,l'm anti- antidepressant. #antidepressants #depression #therapy #mentalhealth #standup #comedy,1368821,107
sI2xnHN6xCw,bringing this trend back for mens mental health month!! #helinadays #subscribe #satire #funny,1799709,9
ciFYTA-SSXI,A Humorous Hospital Hack You Never Knew Existed,65123562,11
lZ0Cvmuwg34,My mental health comes first. Drama be gone!,1495,8
NGUScfBxz84,How to fix your mental health!🔥#christian #gospel #humor #god #bible #love #funny #mentalhealth,24520,14
IPV_kSW534g,High Anxiety #standupcomedy #comedy #funny #anxiety #mentalhealth #mentalhealthawareness,25267,67
x8E4ngZ30G0,Our Mental Health as a Couple! #shorts #mentalhealth #comedy #couple #funny,32407,29
ceWTbkSEt7U,3 signs of OCD #mentalhealth,473109,11
ZUU7hpj6YTQ,3 depression symptoms you may not have known about #mentalhealth,354523,8
OFSmY_Q0rQk,Feeling better already #funnyshorts #funny #mentalhealth,1038,10
otRGvN0n6Jg,Mental Health Through the Ages,11418,53
,so special #humor #MentalHealth #therapytiktok #anxiety #funny,24279,8
9oCwT-ZmbzE,my mental health right now 🤣😂 #shorts #funny #funnyvideo #funnymemes #comedy #comedyvideos,3841,14
-fugHnFYbtc,Schizophrenia Patient Video,718506,16
lmRVc7G89d4,mental health now days 🫤 #memes #funny #mentalhealth #viral #shorts,2496,10
DVoYk2Zc7Og,3 signs of #depression 😞 #mentalhealth,242835,9
idpNpw0zHu4,to spread mental health awareness #fyp #relatable #repost #notmine #funny #tiktok,45951,7
PkfkATF5POk,Anxiety be like 😂 #shorts #anxiety #mentalhealth #funny,31737,10
b38h-JlZnvo,A tradition that’s been passed down for generations! #funny #mentalhealth #mentalillness #relatable,7937925,6
A9jZTgLTE90,February Mental Health 🙃❤️ #funny,3490,17
