video_id,title,view_count,duration_seconds
iuYqEBXztU4,Migrant problem solved. #migrants #funnyshorts,135325,40
PaeC-Fl00fc,Migrant Crisis: Comedy Takes on Inequality,3100,30
q-KR1YEdD4U,Illegal Migrant Crisis Solved! 😆🇬🇧🛶,1240,10
Ob_DAW6LSMU,Migrant smuggler THREATENS F*** UP Patrick Christys,583223,123
xbxqCtDp51Q,Chicago residents shred mayor over city's migrant crisis,40670,66
fXaUnUc7rto,Trump accused the UN of funding the migration crisis during his address to the General Assembly,4679,25
GzPH4UC8ayQ,MIGRANT CRISIS😳 #shorts #snl #weekendupdate,13074,57
b1UK_GYJ3O8,Migrants CONFRONTED,144731,76
G-Kno17qVns,EXPOSED: The migrants on their way to Britain,172674,71
0eGvH8bBxbo,Mayor Adams says Migrant crisis could destroy the city 😂😂 #colinjost #michaelche #shorts,15673,17
-rCfnCQ1sRA,Fiery CLASH ON GBNEWS as Michelle accuses Labour on gaslighting public on immigration,482024,49
6NoA74uTv8U,Solving the Migrant Crisis. #illegalimmigrants #ice #funnyvideo #comedyvideo #humor,2791,22
m_AE4EQ5hoo,‘Madness!’ Patrick Christys Slams Migrant Chaos as Britain Engulfed,221026,109
_9eileZ79BE,Shabana Mahmood slammed for stating the obvious on migrant crisis,91429,37
lBtKtptd2O0,Migrant Crisis: Dark Before Dawn? Hopeful Community Solutions #shorts,2754,44
OIRdZZi1Oho,"🔥 Orban, Trump & JD Vance EXPOSE Europe’s Migration Crisis – The Threat Within?",1148,79
h5NeWSm3II4,Migrant Crisis: Why Strong Leadership Matters To Avoid Disaster! #shorts,1482,25
un5N81Oxb5M,Psychic Predicts Migrant Crisis: Can We Solve This? #shorts,7558,52
WR-GrwFZyJA,Michelle Dewberry and ex-Minister SPAR over convicted illegal migrant,414524,153
KMxd5VdJIns,Calais has JUST ACCEPTED MIGRANTS - we shouldn't,80055,95
