video_id,title,view_count,duration_seconds
D-_LU29MVvU,omni man roblox natural disasters,18131827,20
OVh79xgT0Xo,HACKING Natural disaster survival.. #roblox #naturaldisastersurvival #funny #hacker #c00lkidd,10837198,12
2c7d9c6ail8,Ranking Natural Disaster Roblox Moments!,159186,37
CtmNsaUzxDc,TOP 5 NATURAL PHENOMENA THAT COULD DESTROY A CITY 😱💥 #NaturalDisasters #Top5Countdown #UrbanSurvival,63588,51
jaTiBYPwewk,Top 5 Deadliest Natural Disasters That Was Very Dangerous!☠️😰,126363,46
Aq-xFgApLSQ,Only happens in Natural Disaster Survival #roblox,302719,8
Nldwwojda4o,RANKING FUNNIEST ROBLOX NATURAL DISASTER MOMENTS - remake edition,29547,58
eke1Dcw50rU,"\""These 5 Natural Disasters Can Delete Your City in 0.2 Seconds…\""🤯😱",1509441,2
nfaCNsHlhlk,Exploiters in Natural Disaster Survival be like:,1494479,13
V5rSciQ3GI0,(Part 4!) Ranking FUNNIEST Roblox Natural Disasters moments,36554,46
IFWUJ_trnp4,Natural Disasters 😱 #shorts #scary #short #shortvideo #flood #storm #horror,612132,17
dporC-QQcw0,She's so cute! || VEGENTAGE || #roblox #robloxvr #vr #cute #roblox #naturaldisaster ||,2127186,22
P5umhX4SbuI,Natural Disaster Survival Funny Moments pt. 2 #roblox #funnyshorts #naturaldisastersurvival,54622,29
tpVknQWV7Ns,🌊 Flooded Riverbank Collapses — Residential disaster! 😱🏚️ #FloodDisaster,4445318,6
T7MpRzZoO0w,#bome,1746513,21
Y31x0OC2Lo0,5 Natural Disasters That Could Delete Earth in Seconds!😱🤯,285369,60
rOasOr-o-ho,The Most Powerful Natural Disasters Ever Recorded,172246,19
-LHnxrj7Jl8,Natural Disaster Survival hacking.. #roblox #hacker #c00lkidd #shorts,16479327,15
Sarv87Na2HY,Top 3 Funniest natural disaster Moments!!! #roblox #naturaldisaster #subscribe #like #ranking,34900,22
