video_id,title,view_count,duration_seconds
gm3ykQ7E1SA,My security camera filmed a late night peace treaty🤝🐻 #Friends #Dog #Shorts #animals #funny #cctv,20508,11
RTqJrXS9Zic,President Trump and world leaders sign historic Middle East peace deal,12929,19
vYET5D577o0,"WATCH: Trump signs peace deal: 'This took 3,000 years to get to this point'",98241,22
AN16kSQBP-4,Donald Trump interrupted,9208,35
2rydwTQYIFU,Thailand and Cambodia sign peace agreement,30222,77
e1Y2X5eqtVo,Trump criticizes Putin's war tactics again during peace negotiations,1670,12
Ztlb_jm3U0Y,"Trump says Russia has made \""pretty big concessions\"" in peace talks with Ukraine",106680,16
jkihfooJ_-g,President Trump signs Gaza peace deal,860,62
08s2HL4Y9QY,Trump's shock new demands to Zelensky ahead of high-stakes peace talks,3062,74
l043n_E-REY,Marco Rubio interrupts Trump with handwritten note on Gaza peace deal,22132,27
5nJPRde5BZo,Peace negotiations and Covid affects #shorts #joerogan #podcast #funny #covid19,,160
69c4at1Hysw,Trump signs Gaza peace deal,8945,34
Uw0CKR_A5Iw,🎬 Sibling Fights are WAR... until Mom enters the chat 😭🤣,60710,7
Crv26v_1yWs,Can peace be found in the chaos? 🌍✨,561,113
pweEjw3wY-8,Peace deals happening‼️ #funny #viralvideo #trump #ukraine #news,1197,42
n6ZnKAfhM-o,AI satire - Kimoria Land of Peace. Peace deal  #funny #dungeonsanddragons #trending #viral,202,41
ddOti18SvVI,"Trump Reaches Peace Deal to End Armenia, Azerbaijan Fighting",157895,133
f7zwt4tD590,The Peace Treaty Signing Gone Wrong #shorts #funny #trump #khamenei #putin,1508,9
zcyEXJitYbU,Secret Peace Negotiations Revealed #trump #israel #peace #breakingnews #viralvideo #news  #maga #fun,65,46
6aYhtcyKF7M,Ukraine Peace Talks: Negotiations with Zelenskyy & Trump #shorts,145,42
