video_id,title,view_count,duration_seconds
Kgn86w6ib1Y,The world of politics is a scary thing. #OYL #podcast #shorts,612,36
E943Khcejjk,Trump's Top 10 Concerns for America,797,85
dpCN5j7lEZI,Erosion of Trust: Why Democracy is Under Threat #shorts,920,48
xxZ5OOo6jhE,This independent from New York is calling for more young people in politics. #Shorts #Politics,560,48
ZcW-cxT1exk,This is why people hate politics… #Shorts #Politics #Ukraine #America,730,62
rx4OrjS0EAE,What past inaugural speeches teach us. #Shorts #Politics #Inauguration,107,58
LKzM7B_XrOU,Bernie & AOC Both Have A Meltdown After Host Calmly Asks This Simple Question,162824,84
RAAIt6I5lPI,The DESTRUCTIVE cost of Political Polarization,450,42
Xu03-7kHnEE,I’ve been told to “stick to poker”,184,60
dV_wlg3X07g,What is it about politics that makes politicians so weird? 🤔,37995,50
DHiETTEcl5E,Attacks on local officials in Germany tripled in 2024,839,146
_iLYnknB_Tg,POLITICAL POLARIZATION ‼️‼️‼️,930,49
2LP-d_2PGe8,Political Polarization and Overcompensation,1932,19
CW-G8eAEkPE,Is America Losing its Freedom,663,73
i7Wem0qMLA4,This is Bullshit! Say goodbye to polarized politics in the US,692,26
5LW1SmC78xs,"Oil, Gas, and the Rise of Political Polarization #substack #shorts",26,111
AzBGOjI-vMQ,Media Polarization: Different Realities,1139,12
EoFEyZyLdsU,Politics in America is too polarizing. Why don't we properly communicate?!,592,49
1qiafJRh5uY,Obama's Legacy Would You Vote for Him in 2028 Debate Highlights US Polarization,5606,6
bgwluoqAzoQ,Bridging the Gap,7,83
