video_id,title,view_count,duration_seconds
0RLDoJSjdDM,Refugees and The Royal Family Are Pretty Similar,143749,29
G-Kno17qVns,EXPOSED: The migrants on their way to Britain,172908,71
b1UK_GYJ3O8,Migrants CONFRONTED,144895,76
KG10LtVwLds,Trump DEFENDS Granting REFUGEE Status To Afrikaners After Dem Pushback,3692,62
5Q9K-z1prU8,Three Stooges - Refugees #threestooges #comedy #slapstick,99110,125
za1zfQ8BMI4,"'As a British-Indian, I've got nothing in common with refugees' | LBC",237288,54
0WGvXI5LykE,We need to stop refugees 🤯,2864,86
LQmUCe6EOCI,Lawsuit Against Trump to Protect Refugee Families!,35355,92
I2-d7qek81E,Ukrainian Refugee Stabbed On US Train,380376,16
y4kH9QDup0o,Migrants Interview Part 2 😂 (Veo 3) #uk #england #immigration #funny #comedy #british #dover,61573,9
Wdknol3LhzE,'Illegal migrants have more rights than Brits' | LBC,46940,92
W6Ggq0cwe8g,'Listen to yourself! Where's your humanity?' | LBC,84447,76
jblRGZESi5Y,Anti-migrant hotel protester: 'We are a fed up nation',383421,52
cE3KraZFHro,Asylum seeker debate: 'Sending them back isn’t a solution!' | LBC,115223,102
MA0_hU1LZzM,Welcome Refugees.  #humor #humornegro,2595,15
v_9hGij3mHs,Migrants Arriving in the U.K. 🇬🇧🌊 #funny #british #comedy #migration #ai,126720,41
xHpwm6Giy5s,First migrants set to be sent back to France,53836,133
lX06r1zGfA8,'Why can't British homeless people qualify?' | LBC,384334,76
lRopFjyUqns,Pax Assadi on Raised,1076,50
