video_id,title,view_count,duration_seconds
y_QRlXspVUI,Remote Work Struggles: Balancing Life and Burnout #wfhlife,13,12
Saw5CgSQiDE,The Reward for Good Work? More Work #office #burnout #worktruth #realtalk #struggle,1138,55
JKsHFgomaj4,“How I made my burnout disappear as a WORKING MOM!”,548,6
oa_pxrd5ILQ,Remote Work Reality 😂 | WFH Chaos You Can’t Escape!,80,25
yRZNokxbhe4,From burnout to balance 💻 I make more as a remote nurse + help others land remote jobs #remotenurse,199,11
TqwQ9uq64MM,2025's Productivity Hack: From Burnout to Breakthrough!,5,57
LfcR74qeoLo,"Did The Simpsons Really Predict Remote Work, AI Takeover & Corporate Burnout?! 😱",837,13
2NJK6DV-NEQ,This Meeting Could’ve Been a Slack Message 😩#corporatesatire #NineToFrazzled #burnout #shorts,228,29
5qyPO9bZL10,Overworked? Survive Work Burnout @climbingcloud9 #personalgrowth,48,49
4qD7Mp76AlI,💻 Remote work’s biggest secret?,168,44
sw61VqWZbmE,Break the Remote Work Rut! 🧠💻 3 Quick Tips to Refresh Your Routine! #shorts #RemoteWork2025 #Break,107,26
Txx66ZSn6d8,Working from home doesn’t mean living at work! ✨ #worklifebalance  #burnoutrecovery  #selfcare,551,22
YwLtVrt13lQ,No Burnout.  No Hustle. Real Income.,978,7
TL5j0KTpaXA,Remote Work Rant Unplugged  #workburnout #workfromhome #corporatememes #corporatelife,229,31
a5mxdzm0qr4,Dealing with Burnout #virtualassistant #adayinalifeofavirtualassistant,48,25
XqwM0RESuwI,5 Highest Paying Remote Jobs (without a college degree),1459232,20
DIkkpwTydvA,3 Hacks To Make Work Suck Less,1442863,32
kOYjw0e1oJs,You deserve more than burnout,,15
KgMO1ZnUis8,Nothing can stress me today me at work after 10 mins | #india #memes #weaveanddecor,832,8
HozvUdquHfE,Jethalal Energy at Work? Maybe It’s Not Your Posture…,1633,7
