video_id,title,view_count,duration_seconds
Qme5EDCoLrs,‘Why are you singling out India for sanctions over Russian oil?’: Trump says ‘you will see lot more’,1846966,27
I8Cjhl6f6QU,"Trump Says Witkoff to Visit Russia, Expects to Impose Sanctions",74175,21
MGfeUj4UfSY,BBC journalist questions Donald Trump on India tariffs | BBC News India,2174276,23
EOrD2xDbrZM,Trump sanctions Russia's largest oil companies,5602,20
rzriD9XxUHg,Russian oil sector slapped with U.S. sanctions in bid to get Putin to agree to ceasefire,18998,49
XHgHh-AncdI,Trump Stunned: India Charges U.S. Of Imports Of Russian Uranium Amid Delhi's Energy Row | #shorts,2954688,17
VMHc4QuV24w,Putin says new US sanctions won't affect Russia's economy,12467,46
v6T_lZZGMwo,Ukraine War | Trump's Smug Response To Putin's Claim On US Sanctions Not Affecting Russia,39433,18
GISKg_D_k_w,Trump announces the lifting of sanctions against Syria,2983,91
UtxyZTukkUo,"The Great Oil Loop: EU Sanctions Russia, Russia Supplies Trump, Trump Sells EU #funny #shorts #viral",11576,8
_N92xdtVBQ8,US to lift sanctions on Syria,51058,24
w_RFwVfDI-I,Trump sanctions Russian oil but he buys it himself,17668,9
v5R6wj_G9kg,Trump threatens sanctions on countries that buy Russian oil,8446,33
tkjUBQzaGHw,Trump on Putin’s Reaction to Russia Sanctions,20138,22
x0yl_in7UiU,"Trump LIFTING Sanctions on Syria, Draws UNLIKELY PRAISE from Tommy Vietor",5228,51
iIEkMwMl7-s,Trump says he plans to lift sanctions on Syria,20396,52
qTzPMHOaN-E,Macron and Zelensky Meet in Brussels as EU Unveils New Russia Sanctions | #shorts,6709,20
-2cNGsBTAT8,Fantasy Football Punishments,655267,25
PoqTeD3dZiU,Trump Announces He's Ending 'Brutal And Crippling' Sanctions Against Syria,44015,53
tPGfHkI8CzA,Trump sanctions eight companies for aiding Iranian military,510,59
