video_id,title,view_count,duration_seconds
xI6innDE76U,Sh is not a joke #selfharmrecovery #selfharm #not a joke tw mentioned self harm #vent,11346,6
M5RWQQE9GqI,True definition of self harm☠️...#memes #memesdaily #funny #toys #cars,251,10
YoWdIlS1cws,Self Harm #funny,397,14
y32NvNH2t14,#scars #sh #mentalhealth #selfharm #short #fyp,5581,5
U_MPK9rbZMA,Help #vent #shorts #selfharm #sad #mentalhealth #depressed #sh #fyp,12007,7
rnQO9KxVBAs,Love my M❤️ Also SH and suicide TW #selfharm #suicidalawareness #vent,2559,12
wepFjovxKQs,"At Some Point, Going Out Means Self Harm",11836,62
mw9a6ch95Lo,#selfharm #vent,8042,9
OJgnen15dNk,Wow. Just wow. #suicide #vent #selfharm #message,24439,10
7SZOPLzbH64,TW/SH #selfharm #idkwhattoputhere #lowselfesteem,2907,8
jJl6cqGhwiw,One more on self harm behavior #autism,76,119
Ubu_mrEQZws,How to stop them from self harm,75,94
jf2tgqZnINc,I need real tips #vent #selfharm,5436,9
q29hcHlKsm0,It always the same #vent #sh #selfharm #itrynotto #itry,408,8
txO71I8012s,Self-harm [BEN EAGLE] #kungfu #beneagle #shortsfeed #trending,183988,26
FvWWq6P1Wog,Self injury 😭 #funny #funnyvideo #crazy  #laugh #happy #shorts #shortvideo #short #comedy #goodvibes,1782,59
LdOS7ewRW9Q,What Is Something That You Consider A Form Of Self Harm But Isn't Suicide?,493,51
gWFW7EKGjSs,NO! #triggerwarning #selfharm #vent,5789,13
G3of-LJvk28,… #sh #selfharm #vent #mentalhealth,361,10
8u6H6uszin4,The Hidden Reason Behind Self-Harm,68,80
