video_id,title,view_count,duration_seconds
xI6innDE76U,Sh is not a joke #selfharmrecovery #selfharm #not a joke tw mentioned self harm #vent,11346,6
M5RWQQE9GqI,True definition of self harm☠️...#memes #memesdaily #funny #toys #cars,251,10
YoWdIlS1cws,Self Harm #funny,397,14
FvWWq6P1Wog,Self injury 😭 #funny #funnyvideo #crazy  #laugh #happy #shorts #shortvideo #short #comedy #goodvibes,1782,59
LvFMKAb1yVQ,Accidental self-harm while bored #mario #fyp #funny,98,8
GblRtBvUg7g,Self Harm #trending #funny #comedy #shortvideo #shorts #short #action,734,56
yTvrevV0MWQ,self harm#shorts#funny#music #arabindu,2340,22
G3of-LJvk28,… #sh #selfharm #vent #mentalhealth,361,10
kKPAee0TNAM,Funny Chihuahua Fakes Injury So Mom Won't Leave,690626,18
KuIgBlakPqQ,Streamer Threatens Self-Harm for a Sub?!,810,31
4m7Kc-MnoXw,#vent #relatable #depression #mentalhealth #sad #safeplace #selfharm #eatingdisorder,472,7
CRJtmPHgg6M,Self-Help or Self-Harm? (Erik Joseph Stand-Up),851,16
w-udc_mtZfw,Evil Aunt's Spell: Parents' Shocking Self-Harm! #shorts,96,53
kXNLyKWchUo,#funny#selfharm#leovaldez#fyp#pjoedit#percyjacksonandtheolympians#herosofolympus#pjo#Viral#pjofandom,537,10
bBbHhG4CLlk,“your so funny” #suicide #selfharm #menthalhealth #fyp #viral #notokay,36,10
Uluovafi9NM,Patient Attempts Self-Harm #md #viral #medical,361,53
WNVkANcop7s,Deserve to bleed ⚠️ SELF-HARM⚠️ #wcue #selfharm #fyp,227,17
GZG-KDP8eb8,Ranking the funniest self-harm video #ranking #usa #tiktok #prank,230,22
pbP2anxQKA8,TW!!: SH AND SU!C!DE#vent #selfharm #suicidalthoughts,71,16
vLS-8t6xXqE,Fat funny friend TW: self harm || #vent #roblox,42,44
