video_id,title,view_count,duration_seconds
hD9QaEZCM-0,Sustainability stand up comedy,844,31
7Y9I8y24-5s,From Poverty to Eco-Friendly Living #Environmentalism #ZeroWaste #Humor #Lifestyle #Sustainability,1012,39
H-xwVFn5d5k,Save the earth from climate change,200,16
UWdBZs8cSFs,Recycling Gone Wrong: A Hilarious Yet Frustrating Reality #sustainability #podcast#plasticsrecycling,1046,36
eKnIxTllNEI,When a parrot steals the show! #sustainability #zerowaste #funny,41,40
29Y46tFbY_c,Sustainability in Action,155,129
IYhcasSbWd0,Understanding Climate Change: Fun Kids Animation of a Sweating Earth #sustainability #climatechange,2192,11
N1VSjGMtHDg,💥🧻 I STARTED A TOILET PAPER COMPANY! #smallbusiness #sustainability #funny #ecofriendly,940,39
Np3sWuF4akY,Everything wrong with the use and throw products #environment #sustainability #ecologicalbalance,5221,13
PAT8nhiqAJw,On sustainability we have Conor with another killer script! #vintage #history #funny,2589,107
-qJziQbsfJs,who’s in charge? 🤔 #shorts #design #interiordesign #remodeling #homedesign #sustainability #funny,3636,28
a0LOFO1qIfE,Glass is ridiculously durable : #glass #rhymes #sustainability,519,90
x0CtDGVYBGk,Worm Crap In A Can Actually Sustainable Packaging #wormcrap #sustainability #gardening #soil #nature,1580,30
XDKEMuX-Zno,When green living goes wild! #sustainability #studentlife #funny,104,40
cn-CvYNCNic,Sustainable Fun: How to Make a Water Gun with a PET Bottle,49813283,29
IyIXFiFSlY8,5 Simple Tricks to Instantly Improve Your Environmental Sustainability  #action #movieshorts #funny,4368,51
K1i5X3gW07c,When nature joins the eco-party! #ecovillage #sustainability #funny,4,49
hvSZCoUTdvY,#sustainability #fastfashion #sustainablefashion #humor #comedy #funny #ethicallymade #modest,432,11
gndfMBQYywk,Donald Trump on Climate Change & Sustainability | Why It Matters,303,21
ABbY_8j5D04,Turn your yard into a garden! #homestead #garden #funny #howto #shorts #sustainability,5771,8
