video_id,title,view_count,duration_seconds
tn9ZvmXDpJ4,Trump Discovers 'Groceries' on the Campaign Trail,166996,21
FGmeHLd8xDI,is this how Oreos are made???,18022642,15
LjmPU_0ceAw,We DON'T want your money! But we need your time.,3273871,44
W9l4A05Bk8c,Ivanka's Secret Service detail shows one man why you don't get too close to the president's daughter,11266445,19
jkC0uL2E0kQ,Donald Trump - Funny Moments 😂😂,9098401,16
bu1Aw8uH_-U,The Gulf of America 🇲🇽🇺🇸😂 #shorts #funny #comedy #america #usa #mexico #youtubeshorts,19264514,60
n2ko0tWtEMY,"'DONALD IS FINISHED': Newsom goes on OFFENSE with Trump mockery campaign 3 minutes, 26 seconds",,206
CcutkpvGThE,Travis Puts The Moves On Laura! #criticalrole #laurabailey #mightynein,1057804,46
J4G4WcC-Uuw,WW D Day American Troops Charge in Massive D-Day Reenactment Battle in Conneaut Ohio WW DDay,17982377,13
fNnjFDIOOOE,Ontario Expands US Ad Campaign #OntarioAds #USCanadaTrade #TariffTensions #RonaldReaganAd #DougFord,11758,5
7U0sA99SqkE,"\""Her ad is fantastic\"": Trump praises Sydney Sweeney's American Eagle jeans ad",91445,30
JcB_bepJ7Lw,DO NOT LET WOMEN DISTRACT YOU 💀🖤 | Ready or Not #readyornot,10293824,11
Zl0Bpbgerig,Why Germans Shoot Each Other During WWII 😱,26834967,18
y4MAtleTvJ0,When you find out where your DM’s world is from. | DnD Shorts,9214967,49
Vj1G8A-sL_M,The Great Trump Campaign Finance Reveal#trump #youtube #funny #us,,42
VIIweUm4ib4,Trump Press Secretary Embarrasses Reporter on Immigration - Thug Life,3335435,36
9tQVhTHA95M,Trump is threatening a country like India ? #learnenglish #funny #us #india #conflict #tariff,2278900,38
OBTHCmHjtI4,5 Bizarre Presidential Campaigns in US History,1155,94
d7d_9oGvdoE,I Can Relate With President Trump! - Trevor Noah,1496603,74
szxajRxHaKs,Laura Bailey…never change. Critical Role! #dnd #criticalrole #criticalrolehighlights #dnd5e #funny,624133,25
