video_id,title,view_count,duration_seconds
WNeTbjuPO2w,Ranking Kid’s Reactions to Vaccines – Too Funny! 😂💉,20930,38
kpkwsoc4vVY,Ranking Funniest Children Getting Vaccine Moments,39219,33
WHB5GJuDUQU,Ranking The Best Kid's Reactions To Needle,183771566,43
kA_WARUX-yY,I got vaccinated! (2021),2449061,64
X53cHjAv2Lg,Ranking The Funniest Kids Getting Vaccines Ever!,459290,32
ES75xLrH2nw,Ranking The Funniest Kids Reactions To Getting Injections #children #funny #ranking,225111,31
IVO-ZKlZgWQ,Ranking Best Kid Reactions To Needles,71874451,38
t_4e2WfwQZI,Ranking The Best Kid's Reactions To Needle #ranking #tiktok,1433084,40
b71gOW78gbI,Vaccination💉 #shorts #shortvideo,1549490,26
VPRDd-e9vQ8,Ranking Kids vs. Needles 😂 Funniest Vaccine Reactions EVER! #FunnyKids #VaccineFails #ViralLaughs,5706,55
HZOvwRr4QR0,See comics react to Florida's surgeon general likening vaccines to slavery,524400,77
wp-rz9EIS5U,Ivy went to the doctor! 👩‍⚕️🏥,85835800,29
ds650ZVFgyc,Doctors Getting Fake Vaccines?!?,6868798,23
V9qZ94gnyxc,Injection moment😂💉🙀✨#cat #viralvideo #pets #foryou #funny #funnycats #animals #pets #catlover,68857706,60
qsuz2bPMSlk,Vaccination compliant jeans !!👖😆 #vaccination,57617,119
FD-GqKgJ_RM,Levi does basketball trick shots!! 🏀,22183912,41
Pg9dV4VRpPg,The Vaccine | Dr. Ken | #shorts,2791,59
9Z-Vow_uTgc,"Trump Says Hepatitis B Is 'Sexually Transmitted,' Babies Don't Need Vaccine",18539,41
uoozySGMcbc,Baby's Vaccination Day Out #shorts #ytshorts #youtubeshorts #funny,2321886,56
osh1v6FqUhc,Florida Vaccine Mandates #lastweektonight,1541385,162
