video_id,title,view_count,duration_seconds
7c23jdr-gCs,He's going to Fight for us 😂 Dave Chappelle,9203787,149
wSCjOtlqQkY,Voting in the U.S be like (Part 2) #politics #funny #voting,1213,27
bu1Aw8uH_-U,The Gulf of America 🇲🇽🇺🇸😂 #shorts #funny #comedy #america #usa #mexico #youtubeshorts,19264974,60
o-WlwhGlOPg,Simpsons Predicted Voting Machine Scandal #simpsons #votingmachine #memes #election #funny #shorts,678,60
1Xus64yzUFw,Voting on Bakugo’s outfit #gacha #mha #bkdk #bkdkgacha #funny #meme #bakudeku #inspiration,39827,8
NsXE0FKLths,Voting vs Beer in America 😂🇺🇸  #funny #peoplevspolitics #memes,1968,21
fHP0qLJ8Ycc,Voting at 16 #streetinterview #funny #comedy,8121,9
MALsbQBNrGc,This is so funny 😂 #rei #ive #election #pose #kpop #funny #meme #goofy #ivearemyults #trend,4650698,8
gcMsvyk30R0,Celebrity Reactions to the 2024 Election Results,144141,59
Dx_Hc7m8n08,Ranking Funniest Jumpscare Moments 😂,46620429,33
t1E5SmuSpgc,Election Day enthusiasm had Gen Z-ers fired up and glitching out #dailyshow #electionday #genz,316038,88
ID8qGu1WOdQ,Takeaways from the final NYC mayoral debate,613069,34
7T13spEROV0,The final NYC mayoral debate in 90 seconds,3741059,87
3xxLwqok6pI,rohit sharma Vs Baba Azam voting competition challenge #shorts #youtube #youtubeshorts #funny,29900,22
OT-BNX6qmPk,Voting CCTV footage #memes #funny #election #electioncommission #rahulgandhi #sir #biharelection2025,3814,13
TljwBOYPsB0,voting cctv video 😂😂 #comedy #funny,22160,20
ZYhKjJs91BQ,चुनाव बाद 😂 | bihar election 2025 | desi comedy videos | funny #shorts | mr different,930216,22
6mIX3L4chyY,It is clear at a glance whose parliament is efficient #northkorea #kimjongun #election #newzealand,18334193,17
Ec8GxMhFjlM,मोदी जी ने शाहबाज शरीफ से बदला #funnyvideo #trending #shorts #funny #comedy #modicomedy,13489684,9
50Bq70iIPyU,Zohran Mamdani wins NYC Mayoral Election!!!,301459,20
