video_id,title,view_count,duration_seconds
N6TaulTvpbE,Top 3 funniest soldier moments #funny #military,242482,36
Z83HA9fN-Ao,Meet the worlds military #military#army #shorts #fails #funny,6242609,22
MDCBRRcGcyA,Why German Soldiers Injured Themself During WWII,109860526,19
vBoMxX_oVdE,Ranking Best Army Funny Moments 😂 #shorts,27140944,55
qpZy46-ARAA,Ranking The Most Hilarious Army Moments,298922,57
263un33_f_w,Meet The United States Military #military #fails #armystrong #funny #usa #militaryfails,6766590,39
0yD_LRms_OQ,Meet the world militaries 💀 #funny #military,1328970,18
r2bm4uS4_F8,Ranking Funniest Stormtroopers Moments,568173,34
0r9YXTScWB0,Ranking The Funniest Military Moments,35420396,36
JSQmWx-5taU,Meet the World's Military | Funniest Fails Yet! 😂💥#funny #fails #military,26337610,18
mmmZvatbPYE,The Fake Paratroopers of WW2 🙄,6005883,25
b-9gko2AtP0,Shortest Wars in History,6960097,32
GbAKxirBTIE,"Ranking Army \""Mortar\"" Fails 🪖#shorts #army #fails",104400,42
VY9D6SU6ErI,Ranking Best Military Funny Moments,1342600,38
yVM3byVnWfc,Ranking Funniest Military Moments 🤣,152584,55
x-G0SxgDht0,POV: How world war 2 was ended,12701812,20
z1SaZFNtxhE,Guys when they see a helicopter,2522822,14
3SfmHt6w3L8,Life of an Anti Air player 🐰,3378636,11
enFY2M_6BBs,Russian army funny fail 😅,10362543,22
QO4thkDMIxw,Ranking Military Moments!,22784521,31
