video_id,title,view_count,duration_seconds
-9UrYJf8mtc,The absurdity of extreme wealth#wealth #inequality #humor #money,,61
d-Ma2V6JIKg,You guys look sad. #wealth #economy #money,1507328,84
vfS6v_opj4U,Wealth Inequality At Its Finest,63463,6
qP3wArIC9Zs,Wealthy Inequality Explanation using rice grains. Shock Level Max,2408,172
4oMoCZg88Ng,How girls treat you based on income #shorts,11818144,19
UhBw4vUaDBs,Warren Buffett: Bernie Sanders Accidentally Solved Wealth Inequality?!,13227,39
wzWlqDcN9nA,Patrick Bet-David Embarrasses @jubilee Guest On Taxes And Poverty,1860305,63
FVj-ns2OGKE,The Wealth Gap Explained,9532,38
3V5cOPd0vl0,Why Are Rich People Leaving The UK? | Rory Sutherland,3980198,50
qJCKF8NDs9E,Ben Shapiro challenges the racism narrative on income inequality,100151,52
Rk1Nt0HQcIQ,"Rich People Don't Work Harder, They Work Smarter! Wealth Inequality",3643,18
WEFxxtX4Xm8,Tax wealth not work on Good Morning Britain,439894,57
pnPxcFuPe7Q,Amy Poehler Breaks Down Generational Views on Wealth,7486130,12
EgR0PMCAmWc,Americans See the Wealth Gap and Say… WHAT THE 🤯,19466,48
lqCFYDKTg9k,‘This will happen if we don’t tax the rich’,330226,49
JfQZpXipC2Q,Why the Rich WON'T Redistribute Wealth! #viralclips  #trending  #piersmorgan,55439,31
G_XbGm3ytoo,"\""Humorous Conversation on the Wealth Gap\"" #movie #tvshow #shorts",191,60
iIwqstOQ0vQ,Is THIS the Most Important Line In the History Of 'Seinfeld'?,2142790,109
2AKDM2c97qE,Is global poverty declining? #economics #economy #poverty #newoptimism #inequality,42601,33
yj-ZoooUd1c,Billionaires and The Simpsons #thesimpsons #billionaires #economy #books #inequality,803741,72
