video_id,title,view_count,duration_seconds
O-KPJPrsP74,Trump jokes about getting Covid and needing Paxlovid after RFK Jr. sneezes,287528,21
Bi7Tk3FKDAs,Trump jokes he hopes he didn't catch COVID after RFK Jr. sneeze: 'Give me Paxlovid',23700,22
v8Zgq83CJ4I,"This scene hits different, COVID-19 memories 😂🤌 #funny",1216887,14
fWWCK07BoJ8,Misheard Lyrics: Covid-19 Version #TheManniiShow.com/series,5079282,16
Jn9qdxUMbQc,Trump Jokes About COVID After RFK Jr. Sneezes — In Front of Pfizer CEO | APT,8567,18
pv4MdEQl6FY,Explaining Covid to my future kids. Relatable funny video #relatable #funny #covid19 #covidmemes,14305,7
U8dG_myVG0U,SHOCKING: COVID-19 is Back! (FUNNY VIDEO) | Bizz Buzz,1510,20
_HPFZ2KXvAQ,Covid Proof Test | Just For Laughs Gags,36332,52
u-Zdqvtjcaw,Was COVID-19 6 years ago? #realserap #youtubeshorts #humor #covid19,6656,7
-YEjq0fhbII,A Humorous Take on COVID-19 Safety#COVID19 #StayHome #Humor #Safety,729,11
tHufwGe3J7k,Duke Nukem covid 19 pick up lines. #dukenukem #covid19 #comedy#funny #humor,225,50
VYrDYMmIQLs,Corona virus introduction 🤓 | #corona #virus #introduction #covid #quotes #funny #youtubeshorts,74608,6
wPN79j30YzI,We're COOKED 😰😭 #viral #rblx #robloxrant #funny #relatable,7318,22
qKbb-1UqH00,Standup Shows on Zoom Meeting : Part 1😂| COVID Effects | Standup Comedy,1813633,64
AgKm-L4dano,Still COVID-19 messed up: Funny show moments,424,59
iEt4c6wqHTM,La plandemia #pandemia #covid #epidemia #covid19 #comedia #humor #virus,451,51
IAQ8AbZ2VOo,What we learned from COVID-19 (see comments) #funny #funnyvideo #funnyshorts #memes #covid19,90789,10
2wCHL7Shrq4,Is Covid Season 2 Coming ? 🦠😱 |  HMPV virus ( Beware ) | Kuldeep Singhaniaa #shorts,8958979,42
AD5n4qDvPB8,5G Conspiracy_ COVID-19 Pandemic's Cause_ #funny #short #podcast  #comedy #jokes #laugh,6,26
8J4Po7kAZhA,I Miss When Avoiding People Was Government Approved 🤣,270410,6
